alpha,T_mean_C,Fr_Ea,Fr_int,Fr_R2,KAS_Ea,KAS_int,KAS_R2,FWO_Ea,FWO_int,FWO_R2,St_Ea,St_int,St_R2,Vy_Ea,lnA,A
0.05,345.8991580591646,313.24265623863994,52.93996807631832,0.9972528420536729,290.7143256215973,44.538607289488205,0.997924639122261,286.1641882030472,59.39114726577297,0.9980743351386128,290.89253829217824,45.13270888853959,0.9979309401857118,294.8031593076535,51.875551317241914,3.3827171306926928e+22
0.1,349.85901797360066,322.2276680514485,54.97846481292209,0.9968012101235203,299.27079608834333,45.81859924754772,0.9974992780316638,294.36262940735753,60.68406690434096,0.9976744699773576,299.4448329228979,46.413217953819505,0.9975066428979141,317.9857240355324,53.95009286802586,2.6929459125358773e+23
0.15,352.1933191628923,327.66033729700735,56.184241759955455,0.9965089595326501,304.45081338748776,46.59167951532891,0.9972265457160445,299.32488914005864,61.46472862069872,0.9974176105664895,304.6222797640776,47.1866014795437,0.9972345719867385,325.0346278290426,55.19397542428586,9.341980599889449e+23
0.2,353.8747768169286,331.6382389407473,57.048324045003284,0.996286157098082,308.2458400592687,47.15718977625126,0.9970190482936723,302.9599205687449,62.035682193989025,0.9972219701770731,308.4154039119365,47.75232947296075,0.9970275682305407,329.69730728723295,56.09847412387798,2.3081166570576607e+24
0.25,355.2048678308985,334.8240776940696,57.72511327207091,0.9961024920997805,311.286251934896,47.6097270607673,0.9968480575878008,305.8718786650927,62.492514846822786,0.9970606183347391,311.45428011260805,48.205038572209546,0.9968569785979269,333.26179575162166,56.81828903170398,4.740993912213369e+24
0.3,356.31715419142574,337.51522807503363,58.28345776599262,0.9959437720958868,313.8551690177064,47.99172565449228,0.9967002510064245,308.3320773740722,62.87809836920343,0.9969210529335882,314.02189190275806,48.587180563080764,0.9967095147687919,336.19144766429673,57.42262877328367,8.676225131776736e+24
0.35,357.28295621918824,339.8721660043198,58.76011974285407,0.9958020965318457,316.1054643690703,48.32607566002897,0.9965682512891851,310.48700218350166,63.215555984154776,0.9967963451209434,316.2710381196759,48.921654872993976,0.9965778182018104,338.7104022239149,57.948696064914266,1.4682463655610428e+25
0.4,358.1451734240072,341.9923583970332,59.1770329947508,0.9956725421116688,318.1300043911337,48.626668684796435,0.9964474514627251,312.4256324011404,63.51891925632692,0.9966821646458466,318.2945397900374,49.22235870765771,0.9964572934696282,340.9455906550563,58.41897112192669,2.3498319079727486e+25
0.45,358.9319930071383,343.94048362208054,59.54831050880438,0.9955517472324783,319.99047169205494,48.902724323903875,0.9963347469198209,314.2070638547872,63.797499559265496,0.9965755908455718,320.1540491755308,49.498515333318316,0.9963448436353144,342.9777061623551,58.84825622064002,3.609715266862682e+25
0.5,359.6633829947366,345.7628790191019,59.88354193249596,0.9954372315108357,321.73105140430187,49.160838670081425,0.9962278265825673,315.87362512786456,64.05795786680484,0.9964744477021614,321.8937295208929,49.75672343795041,0.9962381632496969,344.8615420517699,59.24702776420115,5.378451133645553e+25
0.55,360.35450399590104,347.49521519437786,60.18947529044318,0.9953270249679659,323.3857645910852,49.406083869587675,0.9961248499827895,317.4579043754512,64.30541546100159,0.9963770004146942,323.547584892412,50.00205713324424,0.9961354162451423,346.63790927223334,59.623201465920246,7.83479053612087e+25
0.6,361.0177732007535,349.1672133038305,60.470936945896355,0.9952194242441875,324.9829643509184,49.642680257675416,0.9960242199738594,318.9870570285958,64.54413279547217,0.9962817415957145,325.1439540769271,50.23873835918728,0.9960350092097668,348.33941451448163,59.98318514514435,1.1229652454204271e+26
0.65,361.66434107250006,350.806092976591,60.7313587731964,0.9951127660791681,326.54865422867033,49.874491017644964,0.995924402151665,320.48598440649215,64.77800894137212,0.9961872209787378,326.70882733360673,50.47063173459407,0.9959354112367034,349.9945301319813,60.33262790086074,1.5926757811737683e+26
0.7,362.3053311643249,352.43964204287875,60.97295404578154,0.995005276602859,328.10937779908784,50.1054508604112,0.9958237417708906,321.9801008370023,65.0110142581253,0.9960918723757517,328.26873450193705,50.70167339631974,0.9958349712578513,351.63067364981885,60.676990293330725,2.2474087266573715e+26
0.75,362.9534029233282,354.1002431164217,61.1967010302147,0.9948948335267735,329.696046566792,50.340132564370926,0.9957202205283598,323.49899803892345,65.24776191925243,0.9959937830464921,329.8545708928994,50.93643773856615,0.995731675349064,353.2779890685135,61.02228498229318,3.1742537471415745e+26
0.8,363.62524848955684,355.8313809478317,61.401739756417925,0.9947784336362405,331.35022159025846,50.584673673823765,0.9956110201629367,325.08245733710686,65.49444253283325,0.9958902794912802,331.5078755712778,51.18106442818412,0.9956227112495761,354.97453969733124,61.376086076039215,4.5216350185076216e+26
0.85,364.3470294344911,357.7021613269806,61.58355090650321,0.9946511743256743,333.1379669701838,50.84881788374469,0.9954915357650841,326.79370788286894,65.76088273179265,0.9957769904455459,333.2946774274827,51.44530047766664,0.995503483729267,356.77691388184485,61.74968527442569,6.569730793747273e+26
0.9,365.1695330271946,359.84798558595645,61.72741879527418,0.9945033414708964,335.18870565161865,51.151638608171616,0.99535259802379,328.75661137716475,66.06631665112106,0.9956452081416711,335.34433011532167,51.748225729889576,0.9953648425912296,358.78837201028813,62.16386323526877,9.940832974645496e+26
0.95,366.2328212019879,362.64429407564114,61.7730437464267,0.994307736699437,337.86132901334315,51.54600125975739,0.995168521514469,331.31462545772223,66.46405247270914,0.9954705337112141,338.01553234918765,52.14272330827551,0.9951811556804431,361.26866187655355,62.67158630679459,1.6516731359959011e+27
