# Forward reconstruction (consistency check), model F1: E=337 kJ/mol, lnA=43.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
509.797,0.034886,0.0373239,522.864,0.0316867,0.033395,526.935,0.0309742,0.0247181
509.836,0.0351929,0.0380274,522.909,0.0319261,0.0340304,526.978,0.0311998,0.0251886
509.875,0.035501,0.0387322,522.954,0.0321669,0.0346675,527.02,0.0314268,0.0256603
509.914,0.0358101,0.0394384,522.999,0.0324088,0.0353057,527.063,0.031655,0.0261329
509.953,0.0361207,0.0401462,523.044,0.0326519,0.0359451,527.105,0.0318845,0.0266067
509.992,0.0364333,0.0408554,523.09,0.0328962,0.0365862,527.148,0.0321151,0.0270813
510.031,0.0367477,0.041566,523.135,0.0331415,0.0372284,527.19,0.032347,0.0275569
510.07,0.037064,0.0422777,523.179,0.0333877,0.0378715,527.233,0.03258,0.0280335
510.109,0.0373825,0.042991,523.224,0.0336348,0.0385159,527.275,0.0328143,0.0285115
510.148,0.0377032,0.0437053,523.269,0.0338832,0.0391622,527.318,0.0330498,0.0289902
510.187,0.0380262,0.0444206,523.314,0.0341326,0.0398098,527.36,0.0332865,0.0294698
510.226,0.0383516,0.045137,523.359,0.0343829,0.0404588,527.403,0.0335246,0.0299505
510.265,0.0386795,0.0458547,523.404,0.0346343,0.041109,527.445,0.0337639,0.0304321
510.304,0.0390098,0.0465739,523.449,0.0348867,0.0417606,527.488,0.0340046,0.0309149
510.343,0.0393424,0.0472942,523.494,0.03514,0.0424132,527.53,0.0342464,0.0313984
510.382,0.0396774,0.0480157,523.539,0.0353944,0.0430678,527.572,0.0344897,0.0318832
510.421,0.0400147,0.0487384,523.584,0.0356497,0.0437234,527.615,0.0347342,0.0323688
510.46,0.0403545,0.0494627,523.629,0.0359058,0.0443805,527.657,0.0349799,0.0328553
510.499,0.0406968,0.0501881,523.674,0.0361628,0.0450391,527.7,0.0352271,0.0333432
510.538,0.0410413,0.050915,523.719,0.0364208,0.0456992,527.742,0.0354758,0.0338325
510.577,0.0413872,0.051643,523.764,0.0366797,0.0463607,527.785,0.0357257,0.0343224
510.616,0.0417346,0.0523724,523.809,0.0369395,0.0470234,527.827,0.0359769,0.0348137
510.655,0.0420835,0.053103,523.854,0.0372003,0.0476877,527.87,0.0362295,0.0353063
510.694,0.0424341,0.053835,523.899,0.037462,0.0483535,527.912,0.0364835,0.0357999
510.733,0.0427864,0.0545679,523.944,0.0377247,0.0490208,527.955,0.0367385,0.0362942
510.772,0.0431408,0.0553025,523.989,0.0379882,0.0496896,527.997,0.0369951,0.0367901
510.811,0.0434973,0.0560382,524.034,0.0382526,0.0503598,528.04,0.0372529,0.037287
510.85,0.043856,0.0567759,524.079,0.0385178,0.0510315,528.082,0.037512,0.0377851
510.889,0.0442166,0.0575148,524.124,0.0387839,0.0517047,528.125,0.0377723,0.038284
510.928,0.0445791,0.0582551,524.169,0.0390507,0.0523793,528.167,0.0380338,0.038784
510.967,0.0449436,0.0589965,524.214,0.0393183,0.0530555,528.21,0.0382965,0.039285
511.007,0.04531,0.0597392,524.259,0.0395867,0.053733,528.252,0.0385606,0.0397873
511.046,0.045678,0.0604833,524.304,0.0398559,0.0544118,528.295,0.0388258,0.0402904
511.085,0.0460478,0.0612286,524.348,0.040126,0.0550922,528.337,0.0390922,0.0407948
511.124,0.0464191,0.0619749,524.393,0.0403972,0.055774,528.38,0.03936,0.0413002
511.163,0.046792,0.0627226,524.438,0.0406695,0.0564578,528.422,0.0396289,0.0418066
511.202,0.0471662,0.0634712,524.483,0.040943,0.0571433,528.465,0.0398991,0.0423142
511.241,0.047542,0.0642213,524.528,0.0412177,0.0578307,528.507,0.0401707,0.0428228
511.28,0.0479191,0.0649727,524.573,0.0414934,0.0585191,528.55,0.0404437,0.0433326
511.318,0.0482978,0.065725,524.618,0.0417701,0.0592088,528.592,0.0407183,0.0438437
511.357,0.0486783,0.0664789,524.663,0.0420481,0.0599002,528.635,0.0409942,0.0443558
511.396,0.0490605,0.0672341,524.708,0.0423272,0.060593,528.677,0.0412716,0.0448691
511.435,0.0494444,0.0679905,524.753,0.0426076,0.0612872,528.72,0.0415502,0.0453833
511.474,0.04983,0.0687481,524.798,0.0428892,0.0619829,528.762,0.04183,0.0458985
511.513,0.0502179,0.0695071,524.843,0.0431722,0.0626801,528.805,0.0421115,0.0464151
511.552,0.0506077,0.0702673,524.888,0.0434564,0.0633784,528.847,0.0423942,0.0469327
511.591,0.0509996,0.0710291,524.933,0.0437418,0.0640781,528.89,0.0426784,0.0474515
511.63,0.0513936,0.0717921,524.978,0.0440287,0.0647792,528.932,0.042964,0.0479713
511.669,0.0517898,0.0725564,525.023,0.0443171,0.065482,528.975,0.0432512,0.0484927
