# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
307.213,0.000106886,1.29982e-06,319.958,0.000111154,4.28832e-06,325.88,0.00010279,6.65825e-06
307.247,0.000109539,1.30622e-06,319.99,0.000113914,4.30948e-06,325.912,0.00010534,6.69098e-06
307.281,0.000112205,1.31266e-06,320.022,0.000116687,4.33075e-06,325.944,0.000107904,6.72388e-06
307.315,0.000114884,1.31913e-06,320.054,0.000119474,4.35214e-06,325.976,0.00011048,6.75696e-06
307.349,0.000117577,1.32563e-06,320.086,0.000122274,4.37363e-06,326.008,0.000113068,6.7902e-06
307.383,0.000120282,1.33216e-06,320.119,0.000125089,4.39524e-06,326.04,0.00011567,6.82361e-06
307.417,0.000123002,1.33873e-06,320.151,0.000127917,4.41696e-06,326.071,0.000118284,6.8572e-06
307.451,0.000125734,1.34534e-06,320.183,0.000130759,4.43879e-06,326.103,0.000120911,6.89096e-06
307.485,0.00012848,1.35198e-06,320.215,0.000133616,4.46073e-06,326.135,0.000123551,6.9249e-06
307.519,0.000131239,1.35865e-06,320.247,0.000136486,4.48279e-06,326.167,0.000126204,6.95901e-06
307.553,0.000134012,1.36536e-06,320.279,0.000139371,4.50496e-06,326.199,0.00012887,6.99329e-06
307.587,0.000136799,1.3721e-06,320.311,0.00014227,4.52725e-06,326.231,0.000131549,7.02776e-06
307.621,0.0001396,1.37887e-06,320.343,0.000145183,4.54965e-06,326.262,0.000134241,7.0624e-06
307.655,0.000142414,1.38569e-06,320.375,0.000148111,4.57217e-06,326.294,0.000136947,7.09722e-06
307.689,0.000145242,1.39253e-06,320.407,0.000151053,4.59481e-06,326.326,0.000139666,7.13222e-06
307.722,0.000148085,1.39942e-06,320.439,0.00015401,4.61756e-06,326.358,0.000142398,7.16741e-06
307.756,0.000150941,1.40633e-06,320.472,0.000156981,4.64043e-06,326.39,0.000145144,7.20277e-06
307.79,0.000153811,1.41329e-06,320.504,0.000159967,4.66342e-06,326.422,0.000147904,7.23832e-06
307.824,0.000156696,1.42028e-06,320.536,0.000162968,4.68653e-06,326.454,0.000150677,7.27405e-06
307.858,0.000159595,1.4273e-06,320.568,0.000165984,4.70976e-06,326.485,0.000153463,7.30997e-06
307.892,0.000162508,1.43437e-06,320.6,0.000169015,4.73312e-06,326.517,0.000156264,7.34607e-06
307.926,0.000165436,1.44147e-06,320.632,0.000172061,4.75659e-06,326.549,0.000159078,7.38236e-06
307.96,0.000168378,1.4486e-06,320.664,0.000175122,4.78018e-06,326.581,0.000161906,7.41884e-06
307.994,0.000171335,1.45578e-06,320.696,0.000178198,4.8039e-06,326.613,0.000164749,7.45551e-06
308.028,0.000174306,1.46299e-06,320.728,0.000181289,4.82774e-06,326.645,0.000167605,7.49237e-06
308.062,0.000177292,1.47024e-06,320.76,0.000184396,4.85171e-06,326.676,0.000170475,7.52941e-06
308.096,0.000180293,1.47752e-06,320.793,0.000187518,4.8758e-06,326.708,0.00017336,7.56665e-06
308.13,0.000183309,1.48485e-06,320.825,0.000190655,4.90001e-06,326.74,0.000176259,7.60409e-06
308.164,0.00018634,1.49221e-06,320.857,0.000193809,4.92435e-06,326.772,0.000179172,7.64172e-06
308.198,0.000189385,1.49961e-06,320.889,0.000196977,4.94882e-06,326.804,0.0001821,7.67954e-06
308.231,0.000192446,1.50705e-06,320.921,0.000200162,4.97342e-06,326.836,0.000185042,7.71756e-06
308.265,0.000195522,1.51452e-06,320.953,0.000203363,4.99814e-06,326.868,0.000187998,7.75578e-06
308.299,0.000198613,1.52204e-06,320.985,0.000206579,5.02299e-06,326.899,0.00019097,7.7942e-06
308.333,0.00020172,1.5296e-06,321.017,0.000209811,5.04798e-06,326.931,0.000193956,7.83281e-06
308.367,0.000204842,1.53719e-06,321.049,0.00021306,5.07309e-06,326.963,0.000196956,7.87163e-06
308.401,0.00020798,1.54483e-06,321.081,0.000216324,5.09833e-06,326.995,0.000199972,7.91065e-06
308.435,0.000211133,1.5525e-06,321.114,0.000219605,5.12371e-06,327.027,0.000203003,7.94987e-06
308.469,0.000214302,1.56021e-06,321.146,0.000222902,5.14922e-06,327.059,0.000206049,7.98929e-06
308.503,0.000217486,1.56797e-06,321.178,0.000226216,5.17486e-06,327.091,0.000209109,8.02892e-06
308.537,0.000220686,1.57576e-06,321.21,0.000229546,5.20063e-06,327.122,0.000212185,8.06876e-06
308.571,0.000223903,1.5836e-06,321.242,0.000232893,5.22654e-06,327.154,0.000215276,8.1088e-06
308.605,0.000227135,1.59147e-06,321.274,0.000236256,5.25259e-06,327.186,0.000218383,8.14906e-06
308.639,0.000230383,1.59939e-06,321.306,0.000239636,5.27877e-06,327.218,0.000221505,8.18952e-06
308.673,0.000233648,1.60735e-06,321.338,0.000243033,5.30509e-06,327.25,0.000224643,8.23019e-06
308.707,0.000236929,1.61535e-06,321.37,0.000246447,5.33155e-06,327.282,0.000227796,8.27107e-06
308.74,0.000240226,1.62339e-06,321.402,0.000249878,5.35814e-06,327.313,0.000230964,8.31217e-06
308.774,0.000243539,1.63148e-06,321.434,0.000253326,5.38487e-06,327.345,0.000234149,8.35348e-06
308.808,0.000246869,1.6396e-06,321.467,0.000256791,5.41175e-06,327.377,0.000237349,8.39501e-06
308.842,0.000250216,1.64777e-06,321.499,0.000260274,5.43876e-06,327.409,0.000240565,8.43676e-06
308.876,0.000253579,1.65598e-06,321.531,0.000263774,5.46592e-06,327.441,0.000243798,8.47872e-06
308.91,0.000256959,1.66424e-06,321.563,0.000267291,5.49321e-06,327.473,0.000247046,8.5209e-06
308.944,0.000260356,1.67253e-06,321.595,0.000270826,5.52065e-06,327.505,0.000250311,8.5633e-06
308.978,0.00026377,1.68087e-06,321.627,0.000274379,5.54824e-06,327.536,0.000253591,8.60592e-06
309.012,0.000267201,1.68926e-06,321.659,0.000277949,5.57597e-06,327.568,0.000256888,8.64876e-06
309.046,0.000270649,1.69769e-06,321.691,0.000281537,5.60384e-06,327.6,0.000260202,8.69183e-06
309.08,0.000274114,1.70616e-06,321.723,0.000285143,5.63186e-06,327.632,0.000263532,8.73512e-06
309.114,0.000277597,1.71468e-06,321.755,0.000288768,5.66003e-06,327.664,0.000266878,8.77864e-06
309.148,0.000281096,1.72324e-06,321.788,0.00029241,5.68835e-06,327.696,0.000270242,8.82239e-06
309.182,0.000284614,1.73184e-06,321.82,0.00029607,5.71681e-06,327.727,0.000273622,8.86637e-06
309.216,0.000288149,1.7405e-06,321.852,0.000299749,5.74542e-06,327.759,0.000277018,8.91057e-06
309.25,0.000291701,1.74919e-06,321.884,0.000303447,5.77418e-06,327.791,0.000280432,8.95501e-06
309.283,0.000295272,1.75793e-06,321.916,0.000307162,5.8031e-06,327.823,0.000283863,8.99968e-06
309.317,0.00029886,1.76672e-06,321.948,0.000310897,5.83216e-06,327.855,0.000287311,9.04458e-06
309.351,0.000302466,1.77556e-06,321.98,0.00031465,5.86138e-06,327.887,0.000290776,9.08972e-06
309.385,0.00030609,1.78444e-06,322.012,0.000318422,5.89076e-06,327.919,0.000294258,9.13509e-06
309.419,0.000309732,1.79336e-06,322.044,0.000322213,5.92028e-06,327.95,0.000297758,9.1807e-06
309.453,0.000313393,1.80234e-06,322.076,0.000326023,5.94996e-06,327.982,0.000301276,9.22655e-06
309.487,0.000317072,1.81136e-06,322.108,0.000329852,5.9798e-06,328.014,0.00030481,9.27264e-06
309.521,0.000320769,1.82043e-06,322.141,0.0003337,6.0098e-06,328.046,0.000308363,9.31897e-06
309.555,0.000324485,1.82954e-06,322.173,0.000337567,6.03995e-06,328.078,0.000311933,9.36555e-06
309.589,0.000328219,1.8387e-06,322.205,0.000341454,6.07026e-06,328.11,0.000315521,9.41236e-06
309.623,0.000331972,1.84792e-06,322.237,0.00034536,6.10073e-06,328.141,0.000319127,9.45943e-06
309.657,0.000335744,1.85718e-06,322.269,0.000349286,6.13136e-06,328.173,0.000322751,9.50674e-06
309.691,0.000339535,1.86649e-06,322.301,0.000353232,6.16215e-06,328.205,0.000326394,9.5543e-06
309.725,0.000343344,1.87584e-06,322.333,0.000357197,6.19311e-06,328.237,0.000330054,9.6021e-06
309.759,0.000347173,1.88525e-06,322.365,0.000361183,6.22422e-06,328.269,0.000333733,9.65016e-06
309.792,0.000351021,1.89471e-06,322.397,0.000365188,6.2555e-06,328.301,0.00033743,9.69848e-06
309.826,0.000354889,1.90421e-06,322.429,0.000369214,6.28695e-06,328.333,0.000341146,9.74704e-06
309.86,0.000358776,1.91377e-06,322.462,0.00037326,6.31856e-06,328.364,0.00034488,9.79586e-06
309.894,0.000362682,1.92338e-06,322.494,0.000377326,6.35034e-06,328.396,0.000348633,9.84494e-06
309.928,0.000366608,1.93303e-06,322.526,0.000381413,6.38229e-06,328.428,0.000352405,9.89427e-06
309.962,0.000370553,1.94274e-06,322.558,0.00038552,6.4144e-06,328.46,0.000356195,9.94386e-06
309.996,0.000374519,1.9525e-06,322.59,0.000389648,6.44668e-06,328.492,0.000360005,9.99372e-06
310.03,0.000378504,1.96231e-06,322.622,0.000393796,6.47914e-06,328.524,0.000363834,1.00438e-05
310.064,0.00038251,1.97217e-06,322.654,0.000397966,6.51176e-06,328.555,0.000367682,1.00942e-05
310.098,0.000386535,1.98208e-06,322.686,0.000402156,6.54456e-06,328.587,0.000371549,1.01449e-05
310.132,0.000390581,1.99205e-06,322.718,0.000406368,6.57753e-06,328.619,0.000375436,1.01958e-05
