# Criado master-plot: y(alpha) of 15 theoretical models (common grid) and experiment by beta. Selected model: R3.
alpha_theory,y_F1,y_F2,y_F3,y_D1,y_D2,y_D3,y_D4,y_R2,y_R3,y_P2,y_P3,y_P4,y_A2,y_A3,y_A4,alpha_exp_1K,y_exp_1K,alpha_exp_3K,y_exp_3K,alpha_exp_5K,y_exp_5K
0.245,0.612232,0.7399,0.865683,0.49,0.52754,0.570531,0.542229,0.549993,0.570531,0.49,0.49,0.49,0.612232,0.612232,0.612232,0.825,0.999159,0.825,0.998156,0.825,0.997958
0.25,0.622556,0.75,0.875,0.5,0.537683,0.580806,0.552428,0.56022,0.580806,0.5,0.5,0.5,0.622556,0.622556,0.622556,0.85,0.947397,0.85,0.946365,0.85,0.946161
0.255,0.632785,0.7599,0.884017,0.51,0.547798,0.591017,0.562586,0.570401,0.591017,0.51,0.51,0.51,0.632785,0.632785,0.632785,0.875,0.881718,0.875,0.880677,0.875,0.880471
0.26,0.642916,0.7696,0.892736,0.52,0.557882,0.601166,0.572703,0.580534,0.601166,0.52,0.52,0.52,0.642916,0.642916,0.642916,0.9,0.798682,0.9,0.797662,0.9,0.797457
0.265,0.65295,0.7791,0.901159,0.53,0.567938,0.61125,0.582779,0.59062,0.61125,0.53,0.53,0.53,0.65295,0.65295,0.65295,,,,,,
0.27,0.662886,0.7884,0.909288,0.54,0.577963,0.62127,0.592813,0.600658,0.62127,0.54,0.54,0.54,0.662886,0.662886,0.662886,,,,,,
0.275,0.672723,0.7975,0.917125,0.55,0.587958,0.631225,0.602805,0.610648,0.631225,0.55,0.55,0.55,0.672723,0.672723,0.672723,,,,,,
0.28,0.682461,0.8064,0.924672,0.56,0.597922,0.641114,0.612755,0.620589,0.641114,0.56,0.56,0.56,0.682461,0.682461,0.682461,,,,,,
0.285,0.692098,0.8151,0.931931,0.57,0.607856,0.650937,0.622662,0.63048,0.650937,0.57,0.57,0.57,0.692098,0.692098,0.692098,,,,,,
0.29,0.701635,0.8236,0.938904,0.58,0.617758,0.660693,0.632525,0.640322,0.660693,0.58,0.58,0.58,0.701635,0.701635,0.701635,,,,,,
0.295,0.71107,0.8319,0.945593,0.59,0.627629,0.670382,0.642344,0.650113,0.670382,0.59,0.59,0.59,0.71107,0.71107,0.71107,,,,,,
0.3,0.720402,0.84,0.952,0.6,0.637468,0.680003,0.652119,0.659853,0.680003,0.6,0.6,0.6,0.720402,0.720402,0.720402,,,,,,
0.305,0.729632,0.8479,0.958127,0.61,0.647275,0.689555,0.661849,0.669542,0.689555,0.61,0.61,0.61,0.729632,0.729632,0.729632,,,,,,
0.31,0.738758,0.8556,0.963976,0.62,0.657049,0.699037,0.671534,0.679178,0.699037,0.62,0.62,0.62,0.738758,0.738758,0.738758,,,,,,
0.315,0.747779,0.8631,0.969549,0.63,0.66679,0.708449,0.681173,0.688762,0.708449,0.63,0.63,0.63,0.747779,0.747779,0.747779,,,,,,
