# Forward reconstruction (consistency check), model R3: E=344 kJ/mol, lnA=58.6. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
333.003,0.027527,0.0189584,344.094,0.0275101,0.0205739,350.339,0.0275432,0.0240181
333.037,0.0276836,0.0193329,344.126,0.0276667,0.0209762,350.371,0.0276998,0.024486
333.071,0.0278411,0.0197087,344.158,0.0278242,0.0213799,350.402,0.0278573,0.0249554
333.105,0.0279995,0.0200858,344.19,0.0279827,0.0217849,350.434,0.0280157,0.0254262
333.139,0.0281589,0.0204642,344.222,0.028142,0.0221911,350.466,0.0281751,0.0258984
333.173,0.0283191,0.0208441,344.254,0.0283023,0.0225987,350.498,0.0283353,0.0263721
333.207,0.0284803,0.0212252,344.287,0.0284635,0.0230076,350.53,0.0284965,0.0268473
333.241,0.0286424,0.0216078,344.319,0.0286256,0.0234178,350.562,0.0286586,0.0273239
333.275,0.0288055,0.0219917,344.351,0.0287886,0.0238293,350.594,0.0288217,0.0278019
333.309,0.0289695,0.022377,344.383,0.0289526,0.0242421,350.625,0.0289856,0.0282815
333.343,0.0291344,0.0227636,344.415,0.0291176,0.0246562,350.657,0.0291506,0.0287625
333.377,0.0293003,0.0231516,344.447,0.0292834,0.0250717,350.689,0.0293164,0.029245
333.411,0.0294671,0.023541,344.479,0.0294503,0.0254885,350.721,0.0294833,0.0297289
333.444,0.0296349,0.0239318,344.511,0.0296181,0.0259067,350.753,0.0296511,0.0302143
333.478,0.0298037,0.024324,344.543,0.0297869,0.0263262,350.785,0.0298198,0.0307013
333.512,0.0299734,0.0247176,344.575,0.0299566,0.026747,350.816,0.0299896,0.0311897
333.546,0.0301441,0.0251125,344.608,0.0301273,0.0271692,350.848,0.0301603,0.0316796
333.58,0.0303158,0.0255089,344.64,0.030299,0.0275927,350.88,0.030332,0.032171
333.614,0.0304885,0.0259067,344.672,0.0304717,0.0280176,350.912,0.0305047,0.0326639
333.648,0.0306622,0.0263059,344.704,0.0306454,0.0284438,350.944,0.0306784,0.0331583
333.682,0.0308369,0.0267065,344.736,0.0308201,0.0288714,350.976,0.0308531,0.0336542
333.716,0.0310126,0.0271085,344.768,0.0309958,0.0293004,351.008,0.0310288,0.0341516
333.75,0.0311893,0.027512,344.8,0.0311726,0.0297307,351.039,0.0312055,0.0346505
333.784,0.0313671,0.0279169,344.832,0.0313503,0.0301624,351.071,0.0313832,0.035151
333.818,0.0315458,0.0283232,344.864,0.0315291,0.0305955,351.103,0.031562,0.0356529
333.852,0.0317256,0.028731,344.896,0.0317089,0.0310299,351.135,0.0317418,0.0361565
333.886,0.0319065,0.0291402,344.928,0.0318897,0.0314658,351.167,0.0319226,0.0366615
