code,err,kce_r2
D3,0.0011515861497870658,0.9990382561443952
R3,0.0011515861497870719,0.9991873891729884
A2,0.0069497118828295065,0.999758489267063
F1,0.006949711882829512,0.99972803545347
A4,0.0069497118828295195,0.9997779639763185
A3,0.006949711882829525,0.9997710864313145
R2,0.00795886107797818,0.9971215507330199
D4,0.013557704140352815,0.9951588938591426
D2,0.028010969265581817,0.9913709171041204
P2,0.08031259302543761,0.9798673534568209
P3,0.08031259302543767,0.9799162364186783
D1,0.08031259302543768,0.9795171172367932
P4,0.08031259302543768,0.9799409860310463
F2,0.1115818180638723,0.9861780188350013
F3,0.24478954580405085,0.9655155755592293
