code,err,kce_r2
D3,0.005266419069511364,0.9837156491806767
R3,0.005266419069511364,0.9973310268511365
A2,0.008308027560659875,0.9991984007656709
F1,0.008308027560659887,0.9944477476328326
A4,0.008308027560659894,0.9999747764940514
A3,0.008308027560659906,0.999845465133938
R2,0.013475895936482393,0.9982638361922717
D4,0.01956958687862692,0.988355370300271
D2,0.034998217116601935,0.9903884364681458
P2,0.09013846765615573,0.9982132508752033
P3,0.09013846765615574,0.9973972554924039
P4,0.09013846765615575,0.9968722194163733
D1,0.09013846765615578,0.9936262236383531
F2,0.10505702625470519,0.9784332069386861
F3,0.23107236166572567,0.9533163307503397
