# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
285.108,1.99081e-06,0,282.16,1.00853e-07,0,286.135,0,0
285.11,1.99081e-06,0,282.163,1.00853e-07,0,286.137,0,0
285.111,1.99081e-06,0,282.165,1.00853e-07,0,286.138,0,0
285.113,1.99081e-06,0,282.167,1.00853e-07,0,286.14,0,0
285.114,1.99081e-06,0,282.169,1.00853e-07,0,286.142,0,0
285.116,1.99081e-06,0,282.171,1.00853e-07,0,286.144,0,0
285.117,1.99081e-06,0,282.173,1.00853e-07,0,286.145,0,0
285.118,1.99081e-06,0,282.175,1.00853e-07,0,286.147,0,0
285.12,1.99081e-06,0,282.177,1.00853e-07,0,286.149,0,0
285.121,1.99081e-06,0,282.179,1.00853e-07,0,286.151,0,0
285.123,1.99081e-06,0,282.181,1.00853e-07,0,286.153,0,0
285.124,1.99081e-06,0,282.184,1.00853e-07,0,286.154,0,0
285.126,1.99081e-06,0,282.186,1.00853e-07,0,286.156,0,0
285.127,1.99081e-06,0,282.188,1.00853e-07,0,286.158,0,0
285.128,1.99081e-06,0,282.19,1.00853e-07,0,286.16,0,0
285.13,1.99081e-06,0,282.192,1.00853e-07,0,286.161,0,0
285.131,1.99081e-06,0,282.194,1.00853e-07,0,286.163,0,0
285.133,1.99081e-06,0,282.196,1.00853e-07,0,286.165,0,0
285.134,1.99081e-06,0,282.198,1.00853e-07,0,286.167,0,0
285.135,1.99081e-06,0,282.2,1.00853e-07,0,286.168,0,0
285.137,1.99081e-06,0,282.202,1.00853e-07,0,286.17,0,0
285.138,1.99081e-06,0,282.204,1.00853e-07,0,286.172,0,0
285.14,1.99081e-06,0,282.207,1.00853e-07,0,286.174,0,0
285.141,1.99081e-06,0,282.209,1.00853e-07,0,286.175,0,0
285.143,1.99081e-06,0,282.211,1.00853e-07,0,286.177,0,0
285.144,1.99081e-06,0,282.213,1.00853e-07,0,286.179,0,0
285.145,1.99081e-06,0,282.215,1.00853e-07,0,286.181,0,0
285.147,1.99081e-06,0,282.217,1.00853e-07,0,286.182,0,0
285.148,1.99081e-06,0,282.219,1.00853e-07,0,286.184,0,0
285.15,1.99081e-06,0,282.221,1.00853e-07,0,286.186,0,0
285.151,1.99081e-06,0,282.223,1.00853e-07,0,286.188,0,0
285.153,1.99081e-06,0,282.225,1.00853e-07,0,286.189,0,0
285.154,1.99081e-06,0,282.228,1.00853e-07,0,286.191,0,0
285.155,1.99081e-06,0,282.23,1.00853e-07,0,286.193,0,0
285.157,1.99081e-06,0,282.232,1.00853e-07,0,286.195,0,0
285.158,1.99081e-06,0,282.234,1.00853e-07,0,286.197,0,0
285.16,1.99081e-06,0,282.236,1.00853e-07,0,286.198,0,0
285.161,1.99081e-06,0,282.238,1.00853e-07,0,286.2,0,0
285.162,1.99081e-06,0,282.24,1.00853e-07,0,286.202,0,0
285.164,1.99081e-06,0,282.242,1.00853e-07,0,286.204,0,0
285.165,1.99081e-06,0,282.244,1.00853e-07,0,286.205,0,0
285.167,1.99081e-06,0,282.246,1.00853e-07,0,286.207,0,0
285.168,1.99081e-06,0,282.248,1.00853e-07,0,286.209,0,0
285.17,1.99081e-06,0,282.251,1.00853e-07,0,286.211,0,0
285.171,1.99081e-06,0,282.253,1.00853e-07,0,286.212,0,0
285.172,1.99081e-06,0,282.255,1.00853e-07,0,286.214,0,0
285.174,1.99081e-06,0,282.257,1.00853e-07,0,286.216,0,0
285.175,1.99081e-06,0,282.259,1.00853e-07,0,286.218,0,0
285.177,1.99081e-06,0,282.261,1.00853e-07,0,286.219,0,0
285.178,1.99081e-06,0,282.263,1.00853e-07,0,286.221,0,0
285.18,1.99081e-06,0,282.265,1.00853e-07,0,286.223,0,0
285.181,1.99081e-06,0,282.267,1.00853e-07,0,286.225,0,0
285.182,1.99081e-06,0,282.269,1.00853e-07,0,286.226,0,0
285.184,1.99081e-06,0,282.271,1.00853e-07,0,286.228,0,0
285.185,1.99081e-06,0,282.274,1.00853e-07,0,286.23,0,0
285.187,1.99081e-06,0,282.276,1.00853e-07,0,286.232,0,0
285.188,1.99081e-06,0,282.278,1.00853e-07,0,286.233,0,0
285.189,1.99081e-06,0,282.28,1.00853e-07,0,286.235,0,0
285.191,1.99081e-06,0,282.282,1.00853e-07,0,286.237,0,0
285.192,1.99081e-06,0,282.284,1.00853e-07,0,286.239,0,0
285.194,1.99081e-06,0,282.286,1.00853e-07,0,286.241,0,0
285.195,1.99081e-06,0,282.288,1.00853e-07,0,286.242,0,0
285.197,1.99081e-06,0,282.29,1.00853e-07,0,286.244,0,0
285.198,1.99081e-06,0,282.292,1.00853e-07,0,286.246,0,0
285.199,1.99081e-06,0,282.295,1.00853e-07,0,286.248,0,0
285.201,1.99081e-06,0,282.297,1.00853e-07,0,286.249,0,0
285.202,1.99081e-06,0,282.299,1.00853e-07,0,286.251,0,0
285.204,1.99081e-06,0,282.301,1.00853e-07,0,286.253,0,0
285.205,1.99081e-06,0,282.303,1.00853e-07,0,286.255,0,0
285.206,1.99081e-06,0,282.305,1.00853e-07,0,286.256,0,0
285.208,1.99081e-06,0,282.307,1.00853e-07,0,286.258,0,0
285.209,1.99081e-06,0,282.309,1.00853e-07,0,286.26,0,0
285.211,1.99081e-06,0,282.311,1.00853e-07,0,286.262,0,0
285.212,1.99081e-06,0,282.313,1.00853e-07,0,286.263,0,0
285.214,1.99081e-06,0,282.315,1.00853e-07,0,286.265,0,0
285.215,1.99081e-06,0,282.318,1.00853e-07,0,286.267,0,0
285.216,1.99081e-06,0,282.32,1.00853e-07,0,286.269,0,0
285.218,1.99081e-06,0,282.322,1.00853e-07,0,286.27,0,0
285.219,1.99081e-06,0,282.324,1.00853e-07,0,286.272,0,0
285.221,1.99081e-06,0,282.326,1.00853e-07,0,286.274,0,0
285.222,1.99081e-06,0,282.328,1.00853e-07,0,286.276,0,0
285.224,1.99081e-06,0,282.33,1.00853e-07,0,286.278,0,0
285.225,1.99081e-06,0,282.332,1.00853e-07,0,286.279,0,0
285.226,1.99081e-06,0,282.334,1.00853e-07,0,286.281,0,0
285.228,1.99081e-06,0,282.336,1.00853e-07,0,286.283,0,0
285.229,1.99081e-06,0,282.338,1.00853e-07,0,286.285,0,0
285.231,1.99081e-06,0,282.341,1.00853e-07,0,286.286,0,0
285.232,1.99081e-06,0,282.343,1.00853e-07,0,286.288,0,0
285.233,1.99081e-06,0,282.345,1.00853e-07,0,286.29,0,0
285.235,1.99081e-06,0,282.347,1.00853e-07,0,286.292,0,0
285.236,1.99146e-06,1.49756e-08,282.349,1.00853e-07,0,286.293,0,0
285.238,1.99463e-06,5.95447e-08,282.351,1.00853e-07,0,286.295,0,0
285.239,2.00155e-06,1.02792e-07,282.353,1.00853e-07,0,286.297,0,0
285.241,2.01219e-06,1.46965e-07,282.355,1.00853e-07,0,286.299,0,0
285.242,2.02667e-06,1.93018e-07,282.357,1.00853e-07,0,286.3,0,0
285.243,2.04508e-06,2.39152e-07,282.359,1.00853e-07,0,286.302,0,0
285.245,2.06751e-06,2.87435e-07,282.361,1.00853e-07,0,286.304,0,0
285.246,2.09405e-06,3.35494e-07,282.364,1.00853e-07,0,286.306,0,0
285.248,2.12458e-06,3.81137e-07,282.366,1.00853e-07,0,286.307,0,0
285.249,2.15896e-06,4.26038e-07,282.368,1.00853e-07,0,286.309,0,0
285.251,2.19714e-06,4.70224e-07,282.37,1.00853e-07,0,286.311,0,0
285.252,2.23911e-06,5.14971e-07,282.372,1.00853e-07,0,286.313,0,0
285.253,2.2849e-06,5.59775e-07,282.374,1.00853e-07,0,286.314,0,0
285.255,2.3345e-06,6.04573e-07,282.376,1.00853e-07,0,286.316,0,0
285.256,2.38829e-06,6.49278e-07,282.378,1.00853e-07,0,286.318,0,0
285.258,2.44551e-06,6.9387e-07,282.38,1.00853e-07,0,286.32,0,0
285.259,2.50652e-06,7.38265e-07,282.382,1.00853e-07,0,286.322,0,0
285.26,2.5713e-06,7.82398e-07,282.385,1.00853e-07,0,286.323,0,0
