# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
501.413,-1.33207,-1.33617,0.00410026,-1.33223,509.633,-0.618548,-0.622333,0.00378588,-0.622131,513.552,-0.570141,-0.575499,0.00535773,-0.573426
501.452,-1.33221,-1.33643,0.00422123,-1.33246,509.678,-0.618484,-0.622485,0.00400058,-0.622278,513.594,-0.570095,-0.575597,0.00550178,-0.573498
501.491,-1.33239,-1.3367,0.00431196,-1.33268,509.723,-0.61842,-0.622636,0.00421623,-0.622425,513.637,-0.570042,-0.575696,0.00565363,-0.57357
501.53,-1.33256,-1.33697,0.00440706,-1.3329,509.768,-0.618385,-0.622787,0.00440171,-0.622573,513.679,-0.56998,-0.575794,0.00581445,-0.573641
501.568,-1.33273,-1.33723,0.00450058,-1.33312,509.813,-0.618371,-0.622938,0.00456788,-0.62272,513.722,-0.569934,-0.575893,0.00595834,-0.573713
501.607,-1.33297,-1.3375,0.00453417,-1.33334,509.858,-0.618383,-0.62309,0.00470634,-0.622867,513.764,-0.569878,-0.575991,0.00611325,-0.573783
501.647,-1.33315,-1.33777,0.00461352,-1.33356,509.903,-0.61839,-0.623241,0.00485128,-0.623015,513.807,-0.569806,-0.57609,0.00628339,-0.573854
501.686,-1.33335,-1.33803,0.00468012,-1.33378,509.948,-0.618431,-0.623393,0.00496198,-0.623162,513.849,-0.569736,-0.576188,0.00645224,-0.573924
501.725,-1.33353,-1.3383,0.00476969,-1.33399,509.993,-0.618498,-0.623544,0.00504591,-0.623309,513.891,-0.569662,-0.576286,0.00662424,-0.573994
501.764,-1.33367,-1.33857,0.00489476,-1.33421,510.038,-0.618596,-0.623695,0.00509978,-0.623456,513.934,-0.569598,-0.576385,0.00678735,-0.574064
