# Forward reconstruction (consistency check), model R3: E=481 kJ/mol, lnA=94.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
290.337,0.0210218,0.00495806,298.387,0.0215503,0.0102962,297.656,0.0210996,0.0045751
290.339,0.0210407,0.0050488,298.39,0.0215793,0.0104844,297.658,0.0211199,0.00465896
290.34,0.0210595,0.00513956,298.392,0.0216084,0.0106736,297.659,0.0211401,0.00474284
290.341,0.0210784,0.00523033,298.394,0.0216375,0.0108619,297.661,0.0211603,0.00482626
290.343,0.0210973,0.00532113,298.396,0.0216667,0.0110512,297.663,0.0211806,0.00491019
290.344,0.0211162,0.00541194,298.398,0.0216958,0.0112396,297.665,0.0212009,0.00499413
290.346,0.0211351,0.00550277,298.4,0.021725,0.011428,297.666,0.0212213,0.0050781
290.347,0.0211541,0.00559361,298.402,0.0217543,0.0116174,297.668,0.0212416,0.00516209
290.348,0.021173,0.00568448,298.404,0.0217835,0.011806,297.67,0.0212619,0.00524562
290.35,0.021192,0.00577536,298.406,0.0218129,0.0119955,297.672,0.0212822,0.00532965
290.351,0.0212109,0.00586627,298.408,0.0218422,0.0121841,297.673,0.0213026,0.00541371
290.353,0.0212299,0.00595719,298.411,0.0218715,0.0123728,297.675,0.0213229,0.0054973
290.354,0.0212489,0.00604812,298.413,0.021901,0.0125624,297.677,0.0213434,0.0055814
290.356,0.0212678,0.00613844,298.415,0.0219304,0.0127512,297.679,0.0213638,0.00566552
290.357,0.0212869,0.00622941,298.417,0.0219598,0.01294,297.68,0.0213842,0.00574918
290.358,0.0213059,0.0063204,298.419,0.0219894,0.0131298,297.682,0.0214046,0.00583334
290.36,0.021325,0.00641141,298.421,0.0220189,0.0133187,297.684,0.0214251,0.00591752
290.361,0.0213441,0.00650244,298.423,0.0220485,0.0135086,297.686,0.0214457,0.00600173
290.363,0.0213631,0.00659348,298.425,0.0220781,0.0136976,297.687,0.0214662,0.00608595
290.364,0.0213823,0.00668455,298.427,0.0221077,0.0138867,297.689,0.0214867,0.0061702
290.365,0.0214014,0.00677563,298.429,0.0221374,0.0140767,297.691,0.0215072,0.00625399
290.367,0.0214205,0.00686673,298.431,0.0221671,0.0142658,297.693,0.0215278,0.00633828
290.368,0.0214395,0.0069572,298.434,0.0221969,0.0144559,297.695,0.0215484,0.00642259
290.37,0.0214587,0.00704834,298.436,0.0222266,0.0146451,297.696,0.021569,0.00650692
290.371,0.0214779,0.00713949,298.438,0.0222565,0.0148353,297.698,0.0215896,0.00659127
290.373,0.0214971,0.00723066,298.44,0.0222862,0.0150246,297.7,0.0216103,0.00667565
290.374,0.0215163,0.00732185,298.442,0.0223162,0.0152149,297.702,0.0216308,0.00675957
290.375,0.0215355,0.00741306,298.444,0.022346,0.0154043,297.703,0.0216515,0.00684399
290.377,0.0215548,0.00750428,298.446,0.0223761,0.0155947,297.705,0.0216722,0.00692843
290.378,0.021574,0.00759553,298.448,0.022406,0.0157842,297.707,0.0216929,0.00701289
290.38,0.0215933,0.00768679,298.45,0.0224361,0.0159747,297.709,0.0217136,0.00709737
290.381,0.0216128,0.00777871,298.452,0.022466,0.0161643,297.71,0.0217344,0.00718188
290.383,0.0216321,0.00787001,298.454,0.0224962,0.0163548,297.712,0.021755,0.00726593
