#EXPORTTYPE:DATA ALL
#FILE:Mel+Bar_m=2.52ìã_30-400-20 C_3Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:18.06.2026 13:06
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,72 ìã  çàïðåññîâàí  äî ýêñïåð. m=42,26 ìã
#SAMPLE:Mel+Bar
#SAMPLE MASS /mg:2.52
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/3,0(K/min)/400°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/3,0(K/min)/400°C
#SEG. 2:400°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 29.96400;  0.00000;    -0.32925;100.00000;150.00000;2.74300;1
 29.96308;  0.00850;    -0.32925;100.00000;150.00000;2.74300;1
 29.96287;  0.01700;    -0.32903;100.00000;150.00000;2.74300;1
 29.96219;  0.02550;    -0.32870;100.00000;150.00000;2.74300;1
 29.96171;  0.03400;    -0.32856;100.00000;150.00000;2.74299;1
 29.96154;  0.04250;    -0.32798;100.00000;150.00000;2.74299;1
 29.96164;  0.05100;    -0.32771;100.00000;150.00000;2.74299;1
 29.96192;  0.05950;    -0.32770;100.00000;150.00000;2.74299;1
 29.96253;  0.06800;    -0.32773;100.00000;150.00000;2.74300;1
 29.96346;  0.07650;    -0.32782;100.00000;150.00000;2.74300;1
 29.96469;  0.08500;    -0.32804;100.00000;150.00000;2.74300;1
 29.96623;  0.09350;    -0.32838;100.00000;150.00000;2.74301;1
 29.96820;  0.10200;    -0.32850;100.00000;150.00000;2.74301;1
 29.97064;  0.11050;    -0.32859;100.00000;150.00000;2.74302;1
 29.97349;  0.11900;    -0.32875;100.00000;150.00000;2.74303;1
 29.97681;  0.12750;    -0.32882;100.00000;150.00000;2.74304;1
 29.98063;  0.13600;    -0.32804;100.00000;150.00000;2.74305;1
 29.98502;  0.14450;    -0.32801;100.00000;150.00000;2.74306;1
 29.98990;  0.15300;    -0.32812;100.00000;150.00000;2.74307;1
 29.99531;  0.16150;    -0.32835;100.00000;150.00000;2.74309;1
 30.00127;  0.17000;    -0.32813;100.00000;150.00000;2.74311;1
 30.00779;  0.17850;    -0.32813;100.00000;150.00000;2.74312;1
 30.01490;  0.18700;    -0.32801;100.00000;150.00000;2.74314;1
 30.02267;  0.19550;    -0.32823;100.00000;150.00000;2.74317;1
 30.03108;  0.20400;    -0.32833;100.00000;150.00000;2.74319;1
 30.04018;  0.21250;    -0.32830;100.00000;150.00000;2.74322;1
 30.04994;  0.22100;    -0.32903;100.00000;150.00000;2.74324;1
 30.06037;  0.22950;    -0.32909;100.00000;150.00000;2.74327;1
 30.07145;  0.23800;    -0.32920;100.00000;150.00000;2.74330;1
 30.08324;  0.24650;    -0.32929;100.00000;150.00000;2.74334;1
 30.09574;  0.25500;    -0.32940;100.00000;150.00000;2.74337;1
 30.10892;  0.26350;    -0.32951;100.00000;150.00000;2.74341;1
 30.12285;  0.27200;    -0.32971;100.00000;150.00000;2.74345;1
 30.13748;  0.28050;    -0.33003;100.00000;150.00000;2.74349;1
 30.15282;  0.28900;    -0.33073;100.00000;150.00000;2.74353;1
 30.16886;  0.29750;    -0.33123;100.00000;150.00000;2.74358;1
 30.18561;  0.30600;    -0.33112;100.00000;150.00000;2.74363;1
 30.20312;  0.31450;    -0.33112;100.00000;150.00000;2.74368;1
 30.22133;  0.32300;    -0.33191;100.00000;150.00000;2.74373;1
 30.24020;  0.33150;    -0.33263;100.00000;150.00000;2.74378;1
 30.25490;  0.34000;    -0.33295;100.00000;150.00000;2.74382;1
 30.26871;  0.34850;    -0.33316;100.00000;150.00000;2.74386;1
 30.28294;  0.35700;    -0.33327;100.00000;150.00000;2.74390;1
 30.29760;  0.36550;    -0.33349;100.00000;150.00000;2.74394;1
 30.31271;  0.37400;    -0.33457;100.00000;150.00000;2.74399;1
 30.32827;  0.38250;    -0.33490;100.00000;150.00000;2.74403;1
 30.34428;  0.39100;    -0.33516;100.00000;150.00000;2.74408;1
 30.36076;  0.39950;    -0.33571;100.00000;150.00000;2.74412;1
 30.37768;  0.40800;    -0.33656;100.00000;150.00000;2.74417;1
 30.39505;  0.41650;    -0.33758;100.00000;150.00000;2.74422;1
 30.41286;  0.42500;    -0.33813;100.00000;150.00000;2.74427;1
