#EXPORTTYPE:DATA ALL
#FILE:Mel+Bar_m=2.36ìã_30-400-20 C_5Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:18.06.2026 15:53
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,62 ìã  çàïðåññîâàí  äî ýêñïåð. m=42,23 ìã
#SAMPLE:Mel+Bar
#SAMPLE MASS /mg:2.39
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/5,0(K/min)/400°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/5,0(K/min)/400°C
#SEG. 2:400°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 29.39300; 0.00000;    -0.34506;100.00000;150.00000;2.74138;1
 29.39216; 0.00550;    -0.34541;100.00000;150.00000;2.74138;1
 29.39124; 0.01100;    -0.34554;100.00000;150.00000;2.74138;1
 29.39069; 0.01650;    -0.34553;100.00000;150.00000;2.74137;1
 29.39001; 0.02200;    -0.34566;100.00000;150.00000;2.74137;1
 29.38931; 0.02750;    -0.34553;100.00000;150.00000;2.74137;1
 29.38858; 0.03300;    -0.34553;100.00000;150.00000;2.74137;1
 29.38792; 0.03850;    -0.34541;100.00000;150.00000;2.74137;1
 29.38734; 0.04400;    -0.34518;100.00000;150.00000;2.74136;1
 29.38689; 0.04950;    -0.34486;100.00000;150.00000;2.74136;1
 29.38657; 0.05500;    -0.34448;100.00000;150.00000;2.74136;1
 29.38644; 0.06050;    -0.34460;100.00000;150.00000;2.74136;1
 29.38643; 0.06600;    -0.34470;100.00000;150.00000;2.74136;1
 29.38650; 0.07150;    -0.34483;100.00000;150.00000;2.74136;1
 29.38661; 0.07700;    -0.34496;100.00000;150.00000;2.74136;1
 29.38688; 0.08250;    -0.34485;100.00000;150.00000;2.74136;1
 29.38724; 0.08800;    -0.34481;100.00000;150.00000;2.74136;1
 29.38780; 0.09350;    -0.34472;100.00000;150.00000;2.74137;1
 29.38856; 0.09900;    -0.34485;100.00000;150.00000;2.74137;1
 29.38950; 0.10450;    -0.34482;100.00000;150.00000;2.74137;1
 29.39064; 0.11000;    -0.34495;100.00000;150.00000;2.74137;1
 29.39198; 0.11550;    -0.34494;100.00000;150.00000;2.74138;1
 29.39349; 0.12100;    -0.34517;100.00000;150.00000;2.74138;1
 29.39528; 0.12650;    -0.34530;100.00000;150.00000;2.74139;1
 29.39727; 0.13200;    -0.34515;100.00000;150.00000;2.74139;1
 29.39950; 0.13750;    -0.34489;100.00000;150.00000;2.74140;1
 29.40196; 0.14300;    -0.34494;100.00000;150.00000;2.74141;1
 29.40470; 0.14850;    -0.34493;100.00000;150.00000;2.74141;1
 29.40774; 0.15400;    -0.34470;100.00000;150.00000;2.74142;1
 29.41109; 0.15950;    -0.34482;100.00000;150.00000;2.74143;1
 29.41476; 0.16500;    -0.34494;100.00000;150.00000;2.74144;1
 29.41874; 0.17050;    -0.34493;100.00000;150.00000;2.74145;1
 29.42307; 0.17600;    -0.34500;100.00000;150.00000;2.74147;1
 29.42772; 0.18150;    -0.34505;100.00000;150.00000;2.74148;1
 29.43271; 0.18700;    -0.34495;100.00000;150.00000;2.74149;1
 29.43806; 0.19250;    -0.34505;100.00000;150.00000;2.74151;1
 29.44378; 0.19800;    -0.34482;100.00000;150.00000;2.74153;1
 29.44840; 0.20350;    -0.34516;100.00000;150.00000;2.74154;1
 29.45238; 0.20900;    -0.34527;100.00000;150.00000;2.74155;1
 29.45657; 0.21450;    -0.34527;100.00000;150.00000;2.74156;1
 29.46097; 0.22000;    -0.34514;100.00000;150.00000;2.74157;1
 29.46556; 0.22550;    -0.34539;100.00000;150.00000;2.74159;1
 29.47036; 0.23100;    -0.34536;100.00000;150.00000;2.74160;1
 29.47538; 0.23650;    -0.34548;100.00000;150.00000;2.74161;1
 29.48065; 0.24200;    -0.34573;100.00000;150.00000;2.74163;1
 29.48612; 0.24750;    -0.34660;100.00000;150.00000;2.74165;1
 29.49186; 0.25300;    -0.34710;100.00000;150.00000;2.74166;1
 29.49786; 0.25850;    -0.34758;100.00000;150.00000;2.74168;1
 29.50410; 0.26400;    -0.34756;100.00000;150.00000;2.74170;1
 29.51060; 0.26950;    -0.34755;100.00000;150.00000;2.74171;1
 29.51734; 0.27500;    -0.34743;100.00000;150.00000;2.74173;1
 29.52434; 0.28050;    -0.34745;100.00000;150.00000;2.74175;1
 29.53163; 0.28600;    -0.34792;100.00000;150.00000;2.74177;1
 29.53921; 0.29150;    -0.34846;100.00000;150.00000;2.74180;1
 29.54705; 0.29700;    -0.34883;100.00000;150.00000;2.74182;1
 29.55517; 0.30250;    -0.34903;100.00000;150.00000;2.74184;1
 29.56359; 0.30800;    -0.34903;100.00000;150.00000;2.74187;1
 29.57229; 0.31350;    -0.34915;100.00000;150.00000;2.74189;1
 29.58127; 0.31900;    -0.34949;100.00000;150.00000;2.74192;1
 29.59056; 0.32450;    -0.34960;100.00000;150.00000;2.74194;1
 29.60015; 0.33000;    -0.34970;100.00000;150.00000;2.74197;1
 29.61005; 0.33550;    -0.34996;100.00000;150.00000;2.74200;1
 29.62030; 0.34100;    -0.35020;100.00000;150.00000;2.74203;1
 29.63087; 0.34650;    -0.35173;100.00000;150.00000;2.74206;1
 29.64176; 0.35200;    -0.35237;100.00000;150.00000;2.74209;1
 29.65298; 0.35750;    -0.35275;100.00000;150.00000;2.74212;1
 29.66454; 0.36300;    -0.35303;100.00000;150.00000;2.74215;1
 29.67643; 0.36850;    -0.35302;100.00000;150.00000;2.74219;1
 29.68867; 0.37400;    -0.35312;100.00000;150.00000;2.74222;1
 29.70127; 0.37950;    -0.35319;100.00000;150.00000;2.74226;1
 29.71420; 0.38500;    -0.35357;100.00000;150.00000;2.74229;1
 29.72747; 0.39050;    -0.35444;100.00000;150.00000;2.74233;1
 29.74110; 0.39600;    -0.35478;100.00000;150.00000;2.74237;1
 29.75511; 0.40150;    -0.35526;100.00000;150.00000;2.74241;1
 29.76950; 0.40700;    -0.35600;100.00000;150.00000;2.74245;1
 29.78423; 0.41250;    -0.35691;100.00000;150.00000;2.74249;1
 29.79933; 0.41800;    -0.35744;100.00000;150.00000;2.74253;1
 29.81481; 0.42350;    -0.35746;100.00000;150.00000;2.74258;1
 29.83069; 0.42900;    -0.35767;100.00000;150.00000;2.74262;1
 29.84692; 0.43450;    -0.35796;100.00000;150.00000;2.74267;1
 29.86354; 0.44000;    -0.35869;100.00000;150.00000;2.74272;1
 29.88055; 0.44550;    -0.35953;100.00000;150.00000;2.74276;1
 29.89791; 0.45100;    -0.36066;100.00000;150.00000;2.74281;1
 29.91568; 0.45650;    -0.36130;100.00000;150.00000;2.74286;1
 29.93384; 0.46200;    -0.36181;100.00000;150.00000;2.74291;1
 29.95239; 0.46750;    -0.36221;100.00000;150.00000;2.74297;1
 29.97133; 0.47300;    -0.36321;100.00000;150.00000;2.74302;1
 29.99066; 0.47850;    -0.36421;100.00000;150.00000;2.74308;1
 30.01039; 0.48400;    -0.36518;100.00000;150.00000;2.74313;1
 30.03052; 0.48950;    -0.36593;100.00000;150.00000;2.74319;1
 30.05104; 0.49500;    -0.36657;100.00000;150.00000;2.74325;1
 30.07195; 0.50050;    -0.36657;100.00000;150.00000;2.74331;1
 30.09325; 0.50600;    -0.36746;100.00000;150.00000;2.74337;1
 30.11492; 0.51150;    -0.36847;100.00000;150.00000;2.74343;1
 30.13699; 0.51700;    -0.36946;100.00000;150.00000;2.74349;1
 30.15944; 0.52250;    -0.37032;100.00000;150.00000;2.74355;1
 30.18229; 0.52800;    -0.37117;100.00000;150.00000;2.74362;1
 30.20553; 0.53350;    -0.37218;100.00000;150.00000;2.74368;1
 30.22919; 0.53900;    -0.37302;100.00000;150.00000;2.74375;1
 30.25322; 0.54450;    -0.37390;100.00000;150.00000;2.74382;1
 30.27761; 0.55000;    -0.37488;100.00000;150.00000;2.74389;1
 30.30241; 0.55550;    -0.37585;100.00000;150.00000;2.74396;1
 30.32759; 0.56100;    -0.37660;100.00000;150.00000;2.74403;1
 30.35314; 0.56650;    -0.37734;100.00000;150.00000;2.74410;1
 30.37910; 0.57200;    -0.37819;100.00000;150.00000;2.74417;1
 30.40543; 0.57750;    -0.37889;100.00000;150.00000;2.74425;1
 30.43215; 0.58300;    -0.37993;100.00000;150.00000;2.74432;1
 30.45925; 0.58850;    -0.38081;100.00000;150.00000;2.74440;1
 30.48672; 0.59400;    -0.38182;100.00000;150.00000;2.74448;1
 30.51456; 0.59950;    -0.38295;100.00000;150.00000;2.74456;1
 30.54276; 0.60500;    -0.38407;100.00000;150.00000;2.74464;1
 30.57131; 0.61050;    -0.38535;100.00000;150.00000;2.74472;1
 30.60022; 0.61600;    -0.38656;100.00000;150.00000;2.74480;1
 30.62950; 0.62150;    -0.38736;100.00000;150.00000;2.74488;1
 30.65912; 0.62700;    -0.38799;100.00000;150.00000;2.74496;1
 30.68910; 0.63250;    -0.38914;100.00000;150.00000;2.74505;1
 30.71942; 0.63800;    -0.39013;100.00000;150.00000;2.74513;1
 30.75007; 0.64350;    -0.39137;100.00000;150.00000;2.74522;1
 30.78107; 0.64900;    -0.39228;100.00000;150.00000;2.74531;1
 30.81239; 0.65450;    -0.39329;100.00000;150.00000;2.74540;1
 30.84405; 0.66000;    -0.39417;100.00000;150.00000;2.74548;1
 30.87601; 0.66550;    -0.39526;100.00000;150.00000;2.74557;1
 30.90830; 0.67100;    -0.39628;100.00000;150.00000;2.74566;1
 30.94092; 0.67650;    -0.39732;100.00000;150.00000;2.74576;1
 30.97385; 0.68200;    -0.39831;100.00000;150.00000;2.74585;1
 31.00706; 0.68750;    -0.39944;100.00000;150.00000;2.74594;1
 31.04056; 0.69300;    -0.39979;100.00000;150.00000;2.74604;1
 31.07436; 0.69850;    -0.40160;100.00000;150.00000;2.74613;1
 31.10847; 0.70400;    -0.40308;100.00000;150.00000;2.74623;1
 31.14283; 0.70950;    -0.40423;100.00000;150.00000;2.74632;1
 31.17748; 0.71500;    -0.40539;100.00000;150.00000;2.74642;1
 31.21240; 0.72050;    -0.40647;100.00000;150.00000;2.74652;1
 31.24761; 0.72600;    -0.40751;100.00000;150.00000;2.74662;1
 31.28304; 0.73150;    -0.40851;100.00000;150.00000;2.74672;1
 31.31875; 0.73700;    -0.40988;100.00000;150.00000;2.74682;1
 31.35468; 0.74250;    -0.41081;100.00000;150.00000;2.74692;1
 31.39085; 0.74800;    -0.41187;100.00000;150.00000;2.74702;1
 31.42726; 0.75350;    -0.41287;100.00000;150.00000;2.74712;1
 31.46392; 0.75900;    -0.41376;100.00000;150.00000;2.74722;1
 31.50081; 0.76450;    -0.41469;100.00000;150.00000;2.74733;1
 31.53791; 0.77000;    -0.41564;100.00000;150.00000;2.74743;1
 31.57523; 0.77550;    -0.41676;100.00000;150.00000;2.74754;1
 31.61276; 0.78100;    -0.41775;100.00000;150.00000;2.74764;1
 31.65048; 0.78650;    -0.41899;100.00000;150.00000;2.74775;1
 31.68840; 0.79200;    -0.42010;100.00000;150.00000;2.74785;1
 31.72651; 0.79750;    -0.42117;100.00000;150.00000;2.74796;1
 31.76480; 0.80300;    -0.42224;100.00000;150.00000;2.74807;1
 31.80326; 0.80850;    -0.42322;100.00000;150.00000;2.74817;1
 31.84190; 0.81400;    -0.42434;100.00000;150.00000;2.74828;1
 31.88071; 0.81950;    -0.42536;100.00000;150.00000;2.74839;1
 31.91968; 0.82500;    -0.42564;100.00000;150.00000;2.74850;1
 31.95878; 0.83050;    -0.42586;100.00000;150.00000;2.74861;1
 31.99803; 0.83600;    -0.42693;100.00000;150.00000;2.74872;1
 32.03743; 0.84150;    -0.42840;100.00000;150.00000;2.74883;1
 32.07697; 0.84700;    -0.42951;100.00000;150.00000;2.74894;1
 32.11665; 0.85250;    -0.42999;100.00000;150.00000;2.74905;1
 32.15643; 0.85800;    -0.43047;100.00000;150.00000;2.74916;1
 32.19634; 0.86350;    -0.43146;100.00000;150.00000;2.74927;1
 32.23637; 0.86900;    -0.43206;100.00000;150.00000;2.74938;1
 32.27651; 0.87450;    -0.43280;100.00000;150.00000;2.74949;1
 32.31675; 0.88000;    -0.43342;100.00000;150.00000;2.74961;1
 32.35708; 0.88550;    -0.43429;100.00000;150.00000;2.74972;1
 32.39748; 0.89100;    -0.43540;100.00000;150.00000;2.74983;1
 32.43800; 0.89650;    -0.43653;100.00000;150.00000;2.74994;1
 32.47858; 0.90200;    -0.43764;100.00000;150.00000;2.75006;1
 32.51925; 0.90750;    -0.43858;100.00000;150.00000;2.75017;1
 32.56000; 0.91300;    -0.43974;100.00000;150.00000;2.75028;1
 32.60082; 0.91850;    -0.44098;100.00000;150.00000;2.75040;1
 32.64171; 0.92400;    -0.44172;100.00000;150.00000;2.75051;1
 32.68264; 0.92950;    -0.44188;100.00000;150.00000;2.75062;1
 32.72363; 0.93500;    -0.44211;100.00000;150.00000;2.75074;1
 32.76465; 0.94050;    -0.44239;100.00000;150.00000;2.75085;1
 32.80571; 0.94600;    -0.44359;100.00000;150.00000;2.75097;1
 32.84682; 0.95150;    -0.44442;100.00000;150.00000;2.75108;1
 32.88795; 0.95700;    -0.44488;100.00000;150.00000;2.75119;1
 32.92911; 0.96250;    -0.44552;100.00000;150.00000;2.75131;1
 32.97030; 0.96800;    -0.44614;100.00000;150.00000;2.75142;1
 33.01150; 0.97350;    -0.44710;100.00000;150.00000;2.75154;1
 33.05272; 0.97900;    -0.44770;100.00000;150.00000;2.75165;1
 33.09393; 0.98450;    -0.44833;100.00000;150.00000;2.75177;1
 33.13515; 0.99000;    -0.44858;100.00000;150.00000;2.75188;1
 33.17638; 0.99550;    -0.44843;100.00000;150.00000;2.75199;1
 33.21761; 1.00100;    -0.44901;100.00000;150.00000;2.75211;1
 33.25884; 1.00650;    -0.44984;100.00000;150.00000;2.75222;1
 33.30003; 1.01200;    -0.45033;100.00000;150.00000;2.75234;1
 33.34122; 1.01750;    -0.45100;100.00000;150.00000;2.75245;1
 33.38240; 1.02300;    -0.45163;100.00000;150.00000;2.75256;1
 33.42357; 1.02850;    -0.45275;100.00000;150.00000;2.75268;1
 33.46473; 1.03400;    -0.45331;100.00000;150.00000;2.75279;1
 33.50586; 1.03950;    -0.45355;100.00000;150.00000;2.75290;1
 33.54697; 1.04500;    -0.45366;100.00000;150.00000;2.75302;1
 33.58803; 1.05050;    -0.45400;100.00000;150.00000;2.75313;1
 33.62905; 1.05600;    -0.45465;100.00000;150.00000;2.75324;1
 33.67006; 1.06150;    -0.45539;100.00000;150.00000;2.75336;1
 33.71103; 1.06700;    -0.45574;100.00000;150.00000;2.75347;1
 33.75195; 1.07250;    -0.45608;100.00000;150.00000;2.75358;1
 33.79282; 1.07800;    -0.45642;100.00000;150.00000;2.75370;1
 33.83366; 1.08350;    -0.45701;100.00000;150.00000;2.75381;1
 33.87446; 1.08900;    -0.45740;100.00000;150.00000;2.75392;1
 33.91518; 1.09450;    -0.45783;100.00000;150.00000;2.75403;1
 33.95585; 1.10000;    -0.45805;100.00000;150.00000;2.75415;1
 33.99647; 1.10550;    -0.45838;100.00000;150.00000;2.75426;1
 34.03703; 1.11100;    -0.45838;100.00000;150.00000;2.75437;1
 34.07753; 1.11650;    -0.45817;100.00000;150.00000;2.75448;1
 34.11797; 1.12200;    -0.45799;100.00000;150.00000;2.75459;1
 34.15834; 1.12750;    -0.45814;100.00000;150.00000;2.75470;1
 34.19867; 1.13300;    -0.45883;100.00000;150.00000;2.75481;1
 34.23892; 1.13850;    -0.45919;100.00000;150.00000;2.75492;1
 34.27911; 1.14400;    -0.45954;100.00000;150.00000;2.75503;1
 34.31923; 1.14950;    -0.45989;100.00000;150.00000;2.75514;1
 34.35927; 1.15500;    -0.46058;100.00000;150.00000;2.75525;1
 34.39924; 1.16050;    -0.46101;100.00000;150.00000;2.75536;1
 34.43912; 1.16600;    -0.46115;100.00000;150.00000;2.75547;1
 34.47892; 1.17150;    -0.46117;100.00000;150.00000;2.75558;1
 34.51865; 1.17700;    -0.46101;100.00000;150.00000;2.75569;1
 34.55829; 1.18250;    -0.46098;100.00000;150.00000;2.75580;1
 34.59784; 1.18800;    -0.46101;100.00000;150.00000;2.75591;1
 34.63731; 1.19350;    -0.46161;100.00000;150.00000;2.75602;1
 34.67669; 1.19900;    -0.46175;100.00000;150.00000;2.75612;1
 34.71600; 1.20450;    -0.46168;100.00000;150.00000;2.75623;1
 34.75521; 1.21000;    -0.46161;100.00000;150.00000;2.75634;1
 34.79432; 1.21550;    -0.46169;100.00000;150.00000;2.75645;1
 34.83333; 1.22100;    -0.46219;100.00000;150.00000;2.75655;1
 34.87224; 1.22650;    -0.46255;100.00000;150.00000;2.75666;1
 34.91109; 1.23200;    -0.46251;100.00000;150.00000;2.75677;1
 34.94984; 1.23750;    -0.46254;100.00000;150.00000;2.75687;1
 34.98851; 1.24300;    -0.46268;100.00000;150.00000;2.75698;1
 35.02707; 1.24850;    -0.46276;100.00000;150.00000;2.75708;1
 35.06554; 1.25400;    -0.46271;100.00000;150.00000;2.75719;1
 35.10394; 1.25950;    -0.46281;100.00000;150.00000;2.75729;1
 35.14222; 1.26500;    -0.46254;100.00000;150.00000;2.75740;1
 35.18041; 1.27050;    -0.46254;100.00000;150.00000;2.75750;1
 35.21850; 1.27600;    -0.46276;100.00000;150.00000;2.75761;1
 35.25652; 1.28150;    -0.46301;100.00000;150.00000;2.75771;1
 35.29442; 1.28700;    -0.46296;100.00000;150.00000;2.75781;1
 35.33226; 1.29250;    -0.46266;100.00000;150.00000;2.75792;1
 35.36997; 1.29800;    -0.46265;100.00000;150.00000;2.75802;1
 35.40758; 1.30350;    -0.46289;100.00000;150.00000;2.75812;1
 35.44509; 1.30900;    -0.46309;100.00000;150.00000;2.75822;1
 35.48251; 1.31450;    -0.46304;100.00000;150.00000;2.75833;1
 35.51983; 1.32000;    -0.46312;100.00000;150.00000;2.75843;1
 35.55702; 1.32550;    -0.46309;100.00000;150.00000;2.75853;1
 35.59414; 1.33100;    -0.46307;100.00000;150.00000;2.75863;1
 35.63113; 1.33650;    -0.46291;100.00000;150.00000;2.75873;1
 35.66803; 1.34200;    -0.46299;100.00000;150.00000;2.75883;1
 35.70486; 1.34750;    -0.46283;100.00000;150.00000;2.75893;1
 35.74157; 1.35300;    -0.46303;100.00000;150.00000;2.75903;1
 35.77819; 1.35850;    -0.46313;100.00000;150.00000;2.75913;1
 35.81473; 1.36400;    -0.46308;100.00000;150.00000;2.75923;1
 35.85117; 1.36950;    -0.46317;100.00000;150.00000;2.75933;1
 35.88751; 1.37500;    -0.46303;100.00000;150.00000;2.75943;1
 35.92375; 1.38050;    -0.46312;100.00000;150.00000;2.75953;1
 35.95989; 1.38600;    -0.46315;100.00000;150.00000;2.75962;1
 35.99590; 1.39150;    -0.46317;100.00000;150.00000;2.75972;1
 36.03184; 1.39700;    -0.46288;100.00000;150.00000;2.75982;1
 36.06766; 1.40250;    -0.46200;100.00000;150.00000;2.75992;1
 36.10341; 1.40800;    -0.46190;100.00000;150.00000;2.76001;1
 36.13907; 1.41350;    -0.46176;100.00000;150.00000;2.76011;1
 36.17462; 1.41900;    -0.46148;100.00000;150.00000;2.76021;1
 36.21010; 1.42450;    -0.46177;100.00000;150.00000;2.76030;1
 36.24544; 1.43000;    -0.46259;100.00000;150.00000;2.76040;1
 36.28071; 1.43550;    -0.46315;100.00000;150.00000;2.76049;1
 36.31588; 1.44100;    -0.46291;100.00000;150.00000;2.76059;1
 36.35096; 1.44650;    -0.46285;100.00000;150.00000;2.76068;1
 36.38596; 1.45200;    -0.46255;100.00000;150.00000;2.76078;1
 36.42086; 1.45750;    -0.46243;100.00000;150.00000;2.76087;1
 36.45564; 1.46300;    -0.46218;100.00000;150.00000;2.76097;1
 36.49034; 1.46850;    -0.46203;100.00000;150.00000;2.76106;1
 36.52494; 1.47400;    -0.46199;100.00000;150.00000;2.76115;1
 36.55944; 1.47950;    -0.46204;100.00000;150.00000;2.76125;1
 36.59385; 1.48500;    -0.46193;100.00000;150.00000;2.76134;1
 36.62817; 1.49050;    -0.46167;100.00000;150.00000;2.76143;1
 36.66240; 1.49600;    -0.46157;100.00000;150.00000;2.76152;1
 36.69656; 1.50150;    -0.46160;100.00000;150.00000;2.76162;1
 36.73062; 1.50700;    -0.46156;100.00000;150.00000;2.76171;1
 36.76462; 1.51250;    -0.46119;100.00000;150.00000;2.76180;1
 36.79854; 1.51800;    -0.46107;100.00000;150.00000;2.76189;1
 36.83235; 1.52350;    -0.46068;100.00000;150.00000;2.76198;1
 36.86607; 1.52900;    -0.46065;100.00000;150.00000;2.76207;1
 36.89971; 1.53450;    -0.46063;100.00000;150.00000;2.76216;1
 36.93326; 1.54000;    -0.46048;100.00000;150.00000;2.76226;1
 36.96670; 1.54550;    -0.46022;100.00000;150.00000;2.76235;1
 37.00008; 1.55100;    -0.46026;100.00000;150.00000;2.76244;1
 37.03338; 1.55650;    -0.46038;100.00000;150.00000;2.76252;1
 37.06659; 1.56200;    -0.46034;100.00000;150.00000;2.76261;1
 37.09971; 1.56750;    -0.46056;100.00000;150.00000;2.76270;1
 37.13278; 1.57300;    -0.46063;100.00000;150.00000;2.76279;1
 37.16574; 1.57850;    -0.46062;100.00000;150.00000;2.76288;1
 37.19863; 1.58400;    -0.46000;100.00000;150.00000;2.76297;1
 37.23146; 1.58950;    -0.46019;100.00000;150.00000;2.76306;1
 37.26422; 1.59500;    -0.45995;100.00000;150.00000;2.76315;1
