#EXPORTTYPE:DATA SINGLE
#FILE:M-TBA_m=6.03Ï„_30-590-20 C_3Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:02
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:23.04.2025 15:30
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:ÚË„ÂÎ¸:  m=23.78 Ï„  Á‡ÔÂÒÒÓ‚‡Ì
#SAMPLE:M-TBA
#SAMPLE MASS /mg:6.03
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30∞C/3,0(K/min)/590∞C/30,0(K/min)/20∞C/
#SEGMENT:S1/2
#SEG. 1:30∞C/3,0(K/min)/590∞C
#SEG. 2:590∞C/30,0(K/min)/20∞C

##Temp./∞C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
277.68276;82.54961;    -0.21001;2.76215;1
277.68486;82.55031;    -0.21000;2.76214;1
277.68696;82.55101;    -0.21000;2.76214;1
277.68906;82.55171;    -0.21000;2.76213;1
277.69116;82.55241;    -0.21000;2.76213;1
277.69325;82.55310;    -0.21000;2.76212;1
277.69535;82.55380;    -0.21000;2.76212;1
277.69745;82.55450;    -0.21000;2.76211;1
277.69955;82.55520;    -0.21000;2.76211;1
277.70165;82.55590;    -0.21000;2.76210;1
277.70375;82.55660;    -0.21000;2.76209;1
277.70584;82.55730;    -0.21002;2.76209;1
277.70794;82.55800;    -0.21004;2.76208;1
277.71004;82.55869;    -0.21005;2.76208;1
277.71214;82.55939;    -0.21005;2.76207;1
277.71424;82.56009;    -0.21005;2.76207;1
277.71634;82.56079;    -0.21007;2.76206;1
277.71844;82.56149;    -0.21009;2.76205;1
277.72054;82.56219;    -0.21010;2.76205;1
277.72264;82.56289;    -0.21010;2.76204;1
277.72473;82.56359;    -0.21009;2.76204;1
277.72683;82.56428;    -0.21009;2.76203;1
277.72893;82.56498;    -0.21009;2.76203;1
277.73103;82.56568;    -0.21011;2.76202;1
277.73313;82.56638;    -0.21013;2.76201;1
277.73523;82.56708;    -0.21014;2.76201;1
277.73733;82.56778;    -0.21014;2.76200;1
277.73943;82.56848;    -0.21014;2.76200;1
277.74153;82.56918;    -0.21014;2.76199;1
277.74363;82.56987;    -0.21014;2.76199;1
277.74573;82.57057;    -0.21014;2.76198;1
277.74783;82.57127;    -0.21014;2.76198;1
277.74992;82.57197;    -0.21014;2.76197;1
277.75202;82.57267;    -0.21014;2.76196;1
277.75412;82.57337;    -0.21014;2.76196;1
277.75622;82.57407;    -0.21012;2.76195;1
277.75832;82.57477;    -0.21010;2.76195;1
277.76041;82.57546;    -0.21009;2.76194;1
277.76251;82.57616;    -0.21009;2.76194;1
277.76461;82.57686;    -0.21009;2.76193;1
277.76670;82.57756;    -0.21010;2.76192;1
277.76880;82.57826;    -0.21009;2.76192;1
277.77090;82.57896;    -0.21009;2.76191;1
277.77299;82.57966;    -0.21009;2.76191;1
277.77509;82.58036;    -0.21010;2.76190;1
277.77719;82.58105;    -0.21013;2.76190;1
277.77929;82.58175;    -0.21014;2.76189;1
277.78139;82.58245;    -0.21012;2.76188;1
277.78349;82.58315;    -0.21010;2.76188;1
277.78559;82.58385;    -0.21009;2.76187;1
277.78769;82.58455;    -0.21009;2.76187;1
277.78979;82.58525;    -0.21009;2.76186;1
277.79189;82.58595;    -0.21009;2.76186;1
277.79398;82.58664;    -0.21009;2.76185;1
277.79608;82.58734;    -0.21011;2.76185;1
277.79819;82.58804;    -0.21013;2.76184;1
277.80029;82.58874;    -0.21015;2.76183;1
277.80239;82.58944;    -0.21015;2.76183;1
277.80449;82.59014;    -0.21014;2.76182;1
277.80659;82.59084;    -0.21013;2.76182;1
277.80869;82.59154;    -0.21014;2.76181;1
277.81079;82.59223;    -0.21016;2.76181;1
277.81289;82.59293;    -0.21018;2.76180;1
277.81499;82.59363;    -0.21019;2.76179;1
277.81709;82.59433;    -0.21018;2.76179;1
277.81919;82.59503;    -0.21019;2.76178;1
277.82129;82.59573;    -0.21022;2.76178;1
277.82339;82.59643;    -0.21027;2.76177;1
277.82549;82.59713;    -0.21030;2.76177;1
277.82758;82.59782;    -0.21032;2.76176;1
277.82968;82.59852;    -0.21033;2.76175;1
277.83178;82.59922;    -0.21033;2.76175;1
277.83388;82.59992;    -0.21033;2.76174;1
277.83598;82.60062;    -0.21032;2.76174;1
277.83808;82.60132;    -0.21032;2.76173;1
277.84017;82.60202;    -0.21033;2.76173;1
277.84227;82.60272;    -0.21033;2.76172;1
277.84437;82.60341;    -0.21033;2.76171;1
277.84646;82.60411;    -0.21032;2.76171;1
277.84856;82.60481;    -0.21032;2.76170;1
277.85066;82.60551;    -0.21033;2.76170;1
277.85276;82.60621;    -0.21033;2.76169;1
277.85485;82.60691;    -0.21032;2.76169;1
277.85695;82.60761;    -0.21030;2.76168;1
277.85905;82.60831;    -0.21028;2.76168;1
277.86115;82.60900;    -0.21028;2.76167;1
277.86325;82.60970;    -0.21028;2.76166;1
277.86535;82.61040;    -0.21027;2.76166;1
277.86745;82.61110;    -0.21025;2.76165;1
277.86955;82.61180;    -0.21023;2.76165;1
277.87164;82.61250;    -0.21023;2.76164;1
277.87374;82.61320;    -0.21023;2.76164;1
277.87584;82.61390;    -0.21023;2.76163;1
277.87794;82.61459;    -0.21023;2.76162;1
277.88004;82.61529;    -0.21024;2.76162;1
277.88214;82.61599;    -0.21026;2.76161;1
277.88424;82.61669;    -0.21028;2.76161;1
277.88634;82.61739;    -0.21028;2.76160;1
277.88844;82.61809;    -0.21028;2.76160;1
277.89054;82.61879;    -0.21029;2.76159;1
277.89264;82.61949;    -0.21031;2.76158;1
277.89474;82.62018;    -0.21033;2.76158;1
277.89684;82.62088;    -0.21033;2.76157;1
277.89894;82.62158;    -0.21033;2.76157;1
277.90104;82.62228;    -0.21034;2.76156;1
277.90314;82.62298;    -0.21037;2.76156;1
277.90523;82.62368;    -0.21038;2.76155;1
277.90733;82.62438;    -0.21037;2.76155;1
277.90943;82.62508;    -0.21037;2.76154;1
277.91153;82.62577;    -0.21039;2.76153;1
277.91363;82.62647;    -0.21041;2.76153;1
277.91573;82.62717;    -0.21042;2.76152;1
277.91783;82.62787;    -0.21042;2.76152;1
