#EXPORTTYPE:DATA SINGLE
#FILE:M-TBA_m=6.45Ï„_30-590-20 C_1Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:03
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:23.04.2025 19:21
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:ÚË„ÂÎ¸:  m=23.50 Ï„  Á‡ÔÂÒÒÓ‚‡Ì
#SAMPLE:M-TBA
#SAMPLE MASS /mg:6.45
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30∞C/1,0(K/min)/590∞C/30,0(K/min)/20∞C/
#SEGMENT:S1/2
#SEG. 1:30∞C/1,0(K/min)/590∞C
#SEG. 2:590∞C/30,0(K/min)/20∞C

##Temp./∞C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
282.38643;252.37000;    -0.28291;2.74926;1
282.38785;252.37142;    -0.28295;2.74925;1
282.38928;252.37284;    -0.28295;2.74925;1
282.39070;252.37426;    -0.28298;2.74924;1
282.39212;252.37568;    -0.28300;2.74924;1
282.39354;252.37710;    -0.28300;2.74924;1
282.39496;252.37852;    -0.28300;2.74923;1
282.39639;252.37994;    -0.28300;2.74923;1
282.39781;252.38137;    -0.28300;2.74922;1
282.39923;252.38279;    -0.28297;2.74922;1
282.40065;252.38421;    -0.28293;2.74922;1
282.40207;252.38563;    -0.28290;2.74921;1
282.40349;252.38705;    -0.28286;2.74921;1
282.40492;252.38847;    -0.28283;2.74920;1
282.40634;252.38989;    -0.28279;2.74920;1
282.40776;252.39131;    -0.28279;2.74920;1
282.40918;252.39273;    -0.28279;2.74919;1
282.41060;252.39415;    -0.28279;2.74919;1
282.41202;252.39557;    -0.28279;2.74918;1
282.41344;252.39699;    -0.28279;2.74918;1
282.41486;252.39841;    -0.28279;2.74918;1
282.41629;252.39983;    -0.28279;2.74917;1
282.41771;252.40125;    -0.28278;2.74917;1
282.41913;252.40267;    -0.28281;2.74916;1
282.42055;252.40410;    -0.28284;2.74916;1
282.42198;252.40552;    -0.28282;2.74916;1
282.42340;252.40694;    -0.28279;2.74915;1
282.42482;252.40836;    -0.28279;2.74915;1
282.42624;252.40978;    -0.28279;2.74914;1
282.42766;252.41120;    -0.28282;2.74914;1
282.42909;252.41262;    -0.28284;2.74914;1
282.43051;252.41404;    -0.28283;2.74913;1
282.43193;252.41546;    -0.28283;2.74913;1
282.43335;252.41688;    -0.28283;2.74912;1
282.43477;252.41830;    -0.28283;2.74912;1
282.43619;252.41972;    -0.28283;2.74912;1
282.43761;252.42114;    -0.28283;2.74911;1
282.43903;252.42256;    -0.28283;2.74911;1
282.44046;252.42398;    -0.28285;2.74910;1
282.44188;252.42540;    -0.28289;2.74910;1
282.44330;252.42683;    -0.28292;2.74910;1
282.44472;252.42825;    -0.28296;2.74909;1
282.44614;252.42967;    -0.28297;2.74909;1
282.44756;252.43109;    -0.28294;2.74909;1
282.44898;252.43251;    -0.28289;2.74908;1
282.45040;252.43393;    -0.28288;2.74908;1
282.45182;252.43535;    -0.28287;2.74907;1
282.45324;252.43677;    -0.28283;2.74907;1
282.45466;252.43819;    -0.28284;2.74907;1
282.45608;252.43961;    -0.28281;2.74906;1
