#EXPORTTYPE:DATA SINGLE
#FILE:M-TBA_m=6.40Ï„_30-590-20 C_5Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:22.04.2025 14:17
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:ÚË„ÂÎ¸:  m=23.60 Ï„  Á‡ÔÂÒÒÓ‚‡Ì
#SAMPLE:M-TBA
#SAMPLE MASS /mg:6.40
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30∞C/5,0(K/min)/590∞C/5,0(K/min)/20∞C/
#SEGMENT:S1/2
#SEG. 1:30∞C/5,0(K/min)/590∞C
#SEG. 2:590∞C/5,0(K/min)/20∞C

##Temp./∞C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
283.34408;50.66000;    -0.19709;2.74658;1
283.34584;50.66035;    -0.19709;2.74657;1
283.34760;50.66070;    -0.19708;2.74657;1
283.34936;50.66106;    -0.19707;2.74656;1
283.35112;50.66141;    -0.19706;2.74656;1
283.35288;50.66176;    -0.19704;2.74655;1
283.35464;50.66211;    -0.19703;2.74655;1
283.35640;50.66246;    -0.19702;2.74654;1
283.35815;50.66281;    -0.19701;2.74654;1
283.35991;50.66317;    -0.19700;2.74653;1
283.36167;50.66352;    -0.19701;2.74653;1
283.36343;50.66387;    -0.19703;2.74652;1
283.36519;50.66422;    -0.19706;2.74652;1
283.36694;50.66457;    -0.19709;2.74651;1
283.36870;50.66493;    -0.19713;2.74651;1
283.37046;50.66528;    -0.19717;2.74650;1
283.37222;50.66563;    -0.19721;2.74650;1
283.37397;50.66598;    -0.19725;2.74649;1
283.37573;50.66633;    -0.19728;2.74649;1
283.37748;50.66669;    -0.19731;2.74648;1
283.37924;50.66704;    -0.19733;2.74648;1
283.38100;50.66739;    -0.19735;2.74647;1
283.38276;50.66774;    -0.19735;2.74647;1
283.38452;50.66809;    -0.19736;2.74646;1
283.38628;50.66844;    -0.19735;2.74646;1
283.38803;50.66880;    -0.19734;2.74645;1
283.38979;50.66915;    -0.19733;2.74645;1
283.39155;50.66950;    -0.19731;2.74644;1
283.39330;50.66985;    -0.19728;2.74644;1
283.39506;50.67020;    -0.19724;2.74643;1
283.39682;50.67056;    -0.19720;2.74643;1
283.39858;50.67091;    -0.19715;2.74642;1
283.40034;50.67126;    -0.19710;2.74642;1
283.40210;50.67161;    -0.19706;2.74641;1
283.40385;50.67196;    -0.19702;2.74641;1
283.40561;50.67232;    -0.19700;2.74640;1
283.40737;50.67267;    -0.19698;2.74640;1
283.40913;50.67302;    -0.19697;2.74639;1
283.41088;50.67337;    -0.19696;2.74639;1
283.41264;50.67372;    -0.19695;2.74638;1
283.41440;50.67407;    -0.19695;2.74638;1
283.41616;50.67443;    -0.19694;2.74637;1
283.41792;50.67478;    -0.19693;2.74637;1
283.41967;50.67513;    -0.19692;2.74637;1
283.42143;50.67548;    -0.19690;2.74636;1
283.42319;50.67583;    -0.19689;2.74636;1
283.42495;50.67619;    -0.19688;2.74635;1
283.42671;50.67654;    -0.19688;2.74635;1
283.42847;50.67689;    -0.19688;2.74634;1
283.43022;50.67724;    -0.19689;2.74634;1
283.43198;50.67759;    -0.19690;2.74633;1
283.43374;50.67795;    -0.19691;2.74633;1
283.43550;50.67830;    -0.19692;2.74632;1
283.43726;50.67865;    -0.19693;2.74632;1
283.43902;50.67900;    -0.19694;2.74631;1
283.44078;50.67935;    -0.19695;2.74631;1
283.44254;50.67970;    -0.19696;2.74630;1
283.44430;50.68006;    -0.19697;2.74630;1
283.44606;50.68041;    -0.19697;2.74629;1
283.44781;50.68076;    -0.19697;2.74629;1
283.44957;50.68111;    -0.19697;2.74628;1
283.45133;50.68146;    -0.19697;2.74628;1
283.45309;50.68182;    -0.19697;2.74627;1
283.45485;50.68217;    -0.19697;2.74627;1
283.45660;50.68252;    -0.19697;2.74626;1
283.45836;50.68287;    -0.19697;2.74626;1
283.46012;50.68322;    -0.19697;2.74625;1
283.46188;50.68358;    -0.19697;2.74625;1
283.46364;50.68393;    -0.19696;2.74624;1
283.46540;50.68428;    -0.19696;2.74624;1
283.46716;50.68463;    -0.19696;2.74623;1
283.46892;50.68498;    -0.19697;2.74623;1
283.47068;50.68533;    -0.19697;2.74622;1
