#EXPORTTYPE:DATA ALL
#FILE:Mel_m=2.52ìã_30-600-20 C_1Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:02
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:18.06.2026 19:36
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,62 ìã  çàïðåññîâàí  äî ýêñïåð. m=42,33 ìã
#SAMPLE:Mel
#SAMPLE MASS /mg:2.52
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/1,0(K/min)/600°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/1,0(K/min)/600°C
#SEG. 2:600°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 29.20000;  0.00000;    -0.32498;100.00000;150.00000;2.74083;1
 29.19788;  0.03900;    -0.32486;100.00000;150.00000;2.74083;1
 29.19678;  0.07800;    -0.32510;100.00000;150.00000;2.74082;1
 29.19872;  0.11700;    -0.32485;100.00000;150.00000;2.74083;1
 29.20415;  0.15600;    -0.32565;100.00000;150.00000;2.74084;1
 29.21395;  0.19500;    -0.32585;100.00000;150.00000;2.74087;1
 29.22878;  0.23400;    -0.32551;100.00000;150.00000;2.74091;1
 29.24933;  0.27300;    -0.32550;100.00000;150.00000;2.74097;1
 29.27581;  0.31200;    -0.32648;100.00000;150.00000;2.74105;1
 29.30844;  0.35100;    -0.32680;100.00000;150.00000;2.74114;1
 29.34730;  0.39000;    -0.32721;100.00000;150.00000;2.74125;1
 29.39215;  0.42900;    -0.32762;100.00000;150.00000;2.74138;1
 29.44251;  0.46800;    -0.32806;100.00000;150.00000;2.74152;1
 29.49781;  0.50700;    -0.32892;100.00000;150.00000;2.74168;1
 29.55742;  0.54600;    -0.32985;100.00000;150.00000;2.74185;1
 29.62058;  0.58500;    -0.33124;100.00000;150.00000;2.74203;1
 29.68650;  0.62400;    -0.33258;100.00000;150.00000;2.74221;1
 29.75448;  0.66300;    -0.33367;100.00000;150.00000;2.74241;1
 29.82385;  0.70200;    -0.33455;100.00000;150.00000;2.74260;1
 29.89400;  0.74100;    -0.33557;100.00000;150.00000;2.74280;1
 29.96431;  0.78000;    -0.33684;100.00000;150.00000;2.74300;1
 30.03437;  0.81900;    -0.33837;100.00000;150.00000;2.74320;1
 30.10377;  0.85800;    -0.33948;100.00000;150.00000;2.74340;1
 30.17221;  0.89700;    -0.34043;100.00000;150.00000;2.74359;1
 30.23951;  0.93600;    -0.34224;100.00000;150.00000;2.74378;1
 30.30547;  0.97500;    -0.34274;100.00000;150.00000;2.74397;1
 30.36664;  1.01400;    -0.34397;100.00000;150.00000;2.74414;1
 30.42192;  1.05300;    -0.34561;100.00000;150.00000;2.74429;1
 30.47809;  1.09200;    -0.34532;100.00000;150.00000;2.74445;1
 30.53510;  1.13100;    -0.34659;100.00000;150.00000;2.74461;1
 30.59287;  1.17000;    -0.34742;100.00000;150.00000;2.74478;1
 30.65132;  1.20900;    -0.34822;100.00000;150.00000;2.74494;1
 30.71040;  1.24800;    -0.34907;100.00000;150.00000;2.74511;1
 30.77003;  1.28700;    -0.34990;100.00000;150.00000;2.74528;1
 30.83012;  1.32600;    -0.35002;100.00000;150.00000;2.74544;1
 30.89056;  1.36500;    -0.35188;100.00000;150.00000;2.74561;1
 30.95127;  1.40400;    -0.35089;100.00000;150.00000;2.74579;1
 31.01213;  1.44300;    -0.35035;100.00000;150.00000;2.74596;1
 31.07305;  1.48200;    -0.35042;100.00000;150.00000;2.74613;1
 31.13392;  1.52100;    -0.35035;100.00000;150.00000;2.74630;1
 31.19465;  1.56000;    -0.35107;100.00000;150.00000;2.74647;1
 31.25512;  1.59900;    -0.34980;100.00000;150.00000;2.74664;1
 31.31523;  1.63800;    -0.35052;100.00000;150.00000;2.74681;1
 31.37488;  1.67700;    -0.35059;100.00000;150.00000;2.74697;1
 31.43398;  1.71600;    -0.35006;100.00000;150.00000;2.74714;1
 31.49243;  1.75500;    -0.35028;100.00000;150.00000;2.74730;1
 31.55015;  1.79400;    -0.34978;100.00000;150.00000;2.74747;1
 31.60707;  1.83300;    -0.34964;100.00000;150.00000;2.74763;1
 31.66313;  1.87200;    -0.34916;100.00000;150.00000;2.74778;1
 31.71827;  1.91100;    -0.34897;100.00000;150.00000;2.74794;1
 31.77249;  1.95000;    -0.34886;100.00000;150.00000;2.74809;1
 31.82571;  1.98900;    -0.34883;100.00000;150.00000;2.74824;1
 31.87793;  2.02800;    -0.34792;100.00000;150.00000;2.74838;1
 31.92912;  2.06700;    -0.34766;100.00000;150.00000;2.74853;1
 31.97929;  2.10600;    -0.34739;100.00000;150.00000;2.74867;1
 32.02845;  2.14500;    -0.34758;100.00000;150.00000;2.74880;1
 32.07661;  2.18400;    -0.34703;100.00000;150.00000;2.74894;1
 32.12379;  2.22300;    -0.34704;100.00000;150.00000;2.74907;1
 32.17002;  2.26200;    -0.34649;100.00000;150.00000;2.74920;1
 32.21534;  2.30100;    -0.34655;100.00000;150.00000;2.74932;1
 32.25978;  2.34000;    -0.34731;100.00000;150.00000;2.74945;1
 32.30337;  2.37900;    -0.34685;100.00000;150.00000;2.74957;1
 32.34617;  2.41800;    -0.34648;100.00000;150.00000;2.74969;1
 32.38820;  2.45700;    -0.34656;100.00000;150.00000;2.74981;1
 32.42956;  2.49600;    -0.34647;100.00000;150.00000;2.74992;1
 32.47027;  2.53500;    -0.34573;100.00000;150.00000;2.75003;1
 32.51039;  2.57400;    -0.34592;100.00000;150.00000;2.75015;1
 32.54999;  2.61300;    -0.34534;100.00000;150.00000;2.75026;1
 32.58912;  2.65200;    -0.34509;100.00000;150.00000;2.75036;1
 32.62782;  2.69100;    -0.34506;100.00000;150.00000;2.75047;1
 32.66616;  2.73000;    -0.34504;100.00000;150.00000;2.75058;1
 32.70416;  2.76900;    -0.34501;100.00000;150.00000;2.75068;1
 32.74188;  2.80800;    -0.34566;100.00000;150.00000;2.75079;1
 32.77934;  2.84700;    -0.34574;100.00000;150.00000;2.75089;1
 32.81662;  2.88600;    -0.34605;100.00000;150.00000;2.75100;1
 32.85374;  2.92500;    -0.34491;100.00000;150.00000;2.75110;1
 32.89075;  2.96400;    -0.34555;100.00000;150.00000;2.75120;1
 32.92765;  3.00300;    -0.34485;100.00000;150.00000;2.75130;1
 32.96450;  3.04200;    -0.34574;100.00000;150.00000;2.75141;1
 33.00134;  3.08100;    -0.34544;100.00000;150.00000;2.75151;1
 33.03818;  3.12000;    -0.34511;100.00000;150.00000;2.75161;1
 33.07507;  3.15900;    -0.34541;100.00000;150.00000;2.75171;1
 33.11201;  3.19800;    -0.34672;100.00000;150.00000;2.75182;1
 33.14900;  3.23700;    -0.34588;100.00000;150.00000;2.75192;1
 33.18607;  3.27600;    -0.34599;100.00000;150.00000;2.75202;1
 33.22324;  3.31500;    -0.34596;100.00000;150.00000;2.75212;1
 33.26055;  3.35400;    -0.34627;100.00000;150.00000;2.75223;1
 33.29799;  3.39300;    -0.34600;100.00000;150.00000;2.75233;1
 33.33559;  3.43200;    -0.34667;100.00000;150.00000;2.75243;1
 33.37333;  3.47100;    -0.34632;100.00000;150.00000;2.75254;1
 33.41127;  3.51000;    -0.34702;100.00000;150.00000;2.75264;1
 33.44940;  3.54900;    -0.34716;100.00000;150.00000;2.75275;1
 33.48771;  3.58800;    -0.34656;100.00000;150.00000;2.75285;1
 33.52623;  3.62700;    -0.34693;100.00000;150.00000;2.75296;1
