#EXPORTTYPE:DATA ALL
#FILE:Mel_m=4.28ìã_30-600-20 C_3Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:17.06.2026 14:00
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,85 ìã  çàïðåññîâàí  äî ýêñïåð. m=46,05 ìã
#SAMPLE:Mel
#SAMPLE MASS /mg:4.28
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/3,0(K/min)/600°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/3,0(K/min)/600°C
#SEG. 2:600°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 29.90400;  0.00000;    -0.19168;100.00000;150.00000;2.74283;1
 29.90147;  0.01500;    -0.19142;100.00000;150.00000;2.74282;1
 29.90027;  0.03000;    -0.19122;100.00000;150.00000;2.74282;1
 29.89916;  0.04500;    -0.19116;100.00000;150.00000;2.74282;1
 29.89907;  0.06000;    -0.19129;100.00000;150.00000;2.74282;1
 29.89996;  0.07500;    -0.19149;100.00000;150.00000;2.74282;1
 29.90204;  0.09000;    -0.19174;100.00000;150.00000;2.74282;1
 29.90529;  0.10500;    -0.19226;100.00000;150.00000;2.74283;1
 29.90984;  0.12000;    -0.19239;100.00000;150.00000;2.74285;1
 29.91590;  0.13500;    -0.19220;100.00000;150.00000;2.74286;1
 29.92361;  0.15000;    -0.19271;100.00000;150.00000;2.74289;1
 29.93301;  0.16500;    -0.19368;100.00000;150.00000;2.74291;1
 29.94423;  0.18000;    -0.19342;100.00000;150.00000;2.74294;1
 29.95741;  0.19500;    -0.19374;100.00000;150.00000;2.74298;1
 29.97265;  0.21000;    -0.19354;100.00000;150.00000;2.74302;1
 29.98997;  0.22500;    -0.19393;100.00000;150.00000;2.74307;1
 30.00949;  0.24000;    -0.19392;100.00000;150.00000;2.74313;1
 30.03123;  0.25500;    -0.19417;100.00000;150.00000;2.74319;1
 30.05523;  0.27000;    -0.19410;100.00000;150.00000;2.74326;1
 30.08150;  0.28500;    -0.19415;100.00000;150.00000;2.74333;1
 30.11005;  0.30000;    -0.19401;100.00000;150.00000;2.74341;1
 30.14084;  0.31500;    -0.19387;100.00000;150.00000;2.74350;1
 30.17382;  0.33000;    -0.19386;100.00000;150.00000;2.74359;1
 30.20012;  0.34500;    -0.19353;100.00000;150.00000;2.74367;1
 30.22538;  0.36000;    -0.19391;100.00000;150.00000;2.74374;1
 30.25200;  0.37500;    -0.19377;100.00000;150.00000;2.74381;1
 30.28004;  0.39000;    -0.19356;100.00000;150.00000;2.74389;1
 30.30955;  0.40500;    -0.19342;100.00000;150.00000;2.74398;1
 30.34048;  0.42000;    -0.19353;100.00000;150.00000;2.74406;1
 30.37284;  0.43500;    -0.19339;100.00000;150.00000;2.74416;1
 30.40663;  0.45000;    -0.19292;100.00000;150.00000;2.74425;1
 30.44186;  0.46500;    -0.19225;100.00000;150.00000;2.74435;1
 30.47854;  0.48000;    -0.19230;100.00000;150.00000;2.74445;1
 30.51662;  0.49500;    -0.19209;100.00000;150.00000;2.74456;1
 30.55613;  0.51000;    -0.19129;100.00000;150.00000;2.74467;1
 30.59703;  0.52500;    -0.19114;100.00000;150.00000;2.74479;1
 30.63934;  0.54000;    -0.19099;100.00000;150.00000;2.74491;1
 30.68301;  0.55500;    -0.19039;100.00000;150.00000;2.74503;1
 30.72803;  0.57000;    -0.18978;100.00000;150.00000;2.74516;1
 30.77439;  0.58500;    -0.18944;100.00000;150.00000;2.74529;1
 30.82204;  0.60000;    -0.18890;100.00000;150.00000;2.74542;1
 30.87094;  0.61500;    -0.18829;100.00000;150.00000;2.74556;1
 30.92110;  0.63000;    -0.18801;100.00000;150.00000;2.74570;1
 30.97244;  0.64500;    -0.18708;100.00000;150.00000;2.74585;1
 31.02495;  0.66000;    -0.18686;100.00000;150.00000;2.74599;1
 31.07862;  0.67500;    -0.18651;100.00000;150.00000;2.74614;1
 31.13335;  0.69000;    -0.18583;100.00000;150.00000;2.74630;1
 31.18911;  0.70500;    -0.18509;100.00000;150.00000;2.74645;1
 31.24588;  0.72000;    -0.18455;100.00000;150.00000;2.74661;1
 31.30359;  0.73500;    -0.18420;100.00000;150.00000;2.74677;1
 31.36220;  0.75000;    -0.18378;100.00000;150.00000;2.74694;1
 31.42168;  0.76500;    -0.18317;100.00000;150.00000;2.74711;1
 31.48200;  0.78000;    -0.18243;100.00000;150.00000;2.74727;1
 31.54305;  0.79500;    -0.18175;100.00000;150.00000;2.74745;1
 31.60481;  0.81000;    -0.18121;100.00000;150.00000;2.74762;1
 31.66727;  0.82500;    -0.18079;100.00000;150.00000;2.74779;1
 31.73030;  0.84000;    -0.17998;100.00000;150.00000;2.74797;1
 31.79388;  0.85500;    -0.17982;100.00000;150.00000;2.74815;1
 31.85798;  0.87000;    -0.17927;100.00000;150.00000;2.74833;1
 31.92252;  0.88500;    -0.17879;100.00000;150.00000;2.74851;1
 31.98749;  0.90000;    -0.17831;100.00000;150.00000;2.74869;1
 32.05279;  0.91500;    -0.17783;100.00000;150.00000;2.74887;1
 32.11840;  0.93000;    -0.17760;100.00000;150.00000;2.74905;1
 32.18430;  0.94500;    -0.17706;100.00000;150.00000;2.74924;1
 32.25038;  0.96000;    -0.17631;100.00000;150.00000;2.74942;1
 32.31665;  0.97500;    -0.17648;100.00000;150.00000;2.74961;1
 32.38308;  0.99000;    -0.17625;100.00000;150.00000;2.74979;1
 32.44958;  1.00500;    -0.17616;100.00000;150.00000;2.74998;1
 32.51615;  1.02000;    -0.17581;100.00000;150.00000;2.75016;1
 32.58269;  1.03500;    -0.17584;100.00000;150.00000;2.75035;1
 32.64921;  1.05000;    -0.17549;100.00000;150.00000;2.75053;1
 32.71565;  1.06500;    -0.17507;100.00000;150.00000;2.75072;1
 32.78197;  1.08000;    -0.17491;100.00000;150.00000;2.75090;1
 32.84813;  1.09500;    -0.17502;100.00000;150.00000;2.75108;1
 32.91417;  1.11000;    -0.17499;100.00000;150.00000;2.75127;1
 32.97999;  1.12500;    -0.17509;100.00000;150.00000;2.75145;1
 33.04556;  1.14000;    -0.17474;100.00000;150.00000;2.75163;1
 33.11086;  1.15500;    -0.17451;100.00000;150.00000;2.75181;1
 33.17590;  1.17000;    -0.17461;100.00000;150.00000;2.75199;1
 33.24065;  1.18500;    -0.17465;100.00000;150.00000;2.75217;1
 33.30507;  1.20000;    -0.17443;100.00000;150.00000;2.75235;1
 33.36914;  1.21500;    -0.17447;100.00000;150.00000;2.75253;1
 33.43287;  1.23000;    -0.17457;100.00000;150.00000;2.75270;1
 33.49620;  1.24500;    -0.17480;100.00000;150.00000;2.75288;1
 33.55912;  1.26000;    -0.17478;100.00000;150.00000;2.75305;1
 33.62166;  1.27500;    -0.17501;100.00000;150.00000;2.75322;1
 33.68377;  1.29000;    -0.17505;100.00000;150.00000;2.75340;1
 33.74546;  1.30500;    -0.17509;100.00000;150.00000;2.75357;1
 33.80672;  1.32000;    -0.17506;100.00000;150.00000;2.75373;1
 33.86752;  1.33500;    -0.17542;100.00000;150.00000;2.75390;1
 33.92785;  1.35000;    -0.17585;100.00000;150.00000;2.75407;1
 33.98776;  1.36500;    -0.17634;100.00000;150.00000;2.75423;1
 34.04719;  1.38000;    -0.17670;100.00000;150.00000;2.75440;1
 34.10611;  1.39500;    -0.17655;100.00000;150.00000;2.75456;1
 34.16462;  1.41000;    -0.17698;100.00000;150.00000;2.75472;1
 34.22265;  1.42500;    -0.17708;100.00000;150.00000;2.75488;1
 34.28017;  1.44000;    -0.17725;100.00000;150.00000;2.75504;1
 34.33723;  1.45500;    -0.17762;100.00000;150.00000;2.75519;1
 34.39381;  1.47000;    -0.17779;100.00000;150.00000;2.75535;1
 34.44993;  1.48500;    -0.17809;100.00000;150.00000;2.75550;1
 34.50561;  1.50000;    -0.17832;100.00000;150.00000;2.75566;1
 34.56083;  1.51500;    -0.17849;100.00000;150.00000;2.75581;1
 34.61560;  1.53000;    -0.17886;100.00000;150.00000;2.75596;1
 34.66992;  1.54500;    -0.17929;100.00000;150.00000;2.75611;1
 34.72380;  1.56000;    -0.17966;100.00000;150.00000;2.75625;1
 34.77721;  1.57500;    -0.18009;100.00000;150.00000;2.75640;1
 34.83021;  1.59000;    -0.18006;100.00000;150.00000;2.75655;1
 34.88278;  1.60500;    -0.18017;100.00000;150.00000;2.75669;1
 34.93490;  1.62000;    -0.18060;100.00000;150.00000;2.75683;1
 34.98663;  1.63500;    -0.18129;100.00000;150.00000;2.75697;1
 35.03794;  1.65000;    -0.18153;100.00000;150.00000;2.75711;1
 35.08883;  1.66500;    -0.18163;100.00000;150.00000;2.75725;1
 35.13934;  1.68000;    -0.18174;100.00000;150.00000;2.75739;1
 35.18946;  1.69500;    -0.18250;100.00000;150.00000;2.75753;1
 35.23923;  1.71000;    -0.18274;100.00000;150.00000;2.75766;1
 35.28862;  1.72500;    -0.18265;100.00000;150.00000;2.75780;1
 35.33764;  1.74000;    -0.18263;100.00000;150.00000;2.75793;1
 35.38635;  1.75500;    -0.18319;100.00000;150.00000;2.75806;1
 35.43471;  1.77000;    -0.18343;100.00000;150.00000;2.75820;1
 35.48275;  1.78500;    -0.18354;100.00000;150.00000;2.75833;1
 35.53046;  1.80000;    -0.18384;100.00000;150.00000;2.75846;1
 35.57789;  1.81500;    -0.18401;100.00000;150.00000;2.75859;1
 35.62502;  1.83000;    -0.18399;100.00000;150.00000;2.75871;1
 35.67183;  1.84500;    -0.18410;100.00000;150.00000;2.75884;1
 35.71836;  1.86000;    -0.18441;100.00000;150.00000;2.75897;1
 35.76462;  1.87500;    -0.18497;100.00000;150.00000;2.75909;1
 35.81062;  1.89000;    -0.18514;100.00000;150.00000;2.75922;1
